date,avgt
2023-04-01,14.8
2023-04-02,11.7
2023-04-03,13.2
2023-04-04,14.0
2023-04-05,14.2
2023-04-06,14.6
2023-04-07,15.6
2023-04-08,18.2
2023-04-09,17.0
2023-04-10,19.3
2023-04-11,19.9
2023-04-12,15.6
2023-04-13,13.2
2023-04-14,14.9
2023-04-15,15.7
2023-04-16,14.6
2023-04-17,16.0
2023-04-18,15.7
2023-04-19,18.0
2023-04-20,18.5
2023-04-21,19.5
2023-04-22,18.7
2023-04-23,19.0
2023-04-24,19.6
2023-04-25,21.2
2023-04-26,23.4
2023-04-27,23.6
2023-04-28,23.8
2023-04-29,21.4
2023-04-30,18.4
2023-05-01,18.6
2023-05-02,20.6
2023-05-03,21.2
2023-05-04,22.2
2023-05-05,21.4
2023-05-06,23.7
2023-05-07,21.0
2023-05-08,20.8
2023-05-09,20.4
2023-05-10,16.8
2023-05-11,15.8
2023-05-12,15.0
2023-05-13,15.8
2023-05-14,17.3
2023-05-15,17.0
2023-05-16,16.0
2023-05-17,17.2
2023-05-18,16.7
2023-05-19,17.2
2023-05-20,17.6
2023-05-21,19.3
2023-05-22,20.0
2023-05-23,20.6
2023-05-24,21.0
2023-05-25,19.0
2023-05-26,19.8
2023-05-27,21.7
2023-05-28,23.6
2023-05-29,23.0
2023-05-30,23.6
2023-05-31,24.4
2023-06-01,19.4
2023-06-02,22.5
2023-06-03,23.1
2023-06-04,23.3
2023-06-05,24.2
2023-06-06,24.8
2023-06-07,23.7
2023-06-08,22.6
2023-06-09,25.0
2023-06-10,24.8
2023-06-11,23.6
2023-06-12,23.3
2023-06-13,22.7
2023-06-14,23.0
2023-06-15,24.6
2023-06-16,26.7
2023-06-17,29.0
2023-06-18,23.7
2023-06-19,24.2
2023-06-20,25.5
2023-06-21,22.8
2023-06-22,23.7
2023-06-23,25.8
2023-06-24,28.1
2023-06-25,30.0
2023-06-26,26.7
2023-06-27,25.4
2023-06-28,25.8
2023-06-29,24.0
2023-06-30,21.1
2023-07-01,23.4
2023-07-02,25.4
2023-07-03,23.1
2023-07-04,26.0
2023-07-05,25.4
2023-07-06,23.2
2023-07-07,25.4
2023-07-08,28.0
2023-07-09,29.8
2023-07-10,29.3
2023-07-11,32.0
2023-07-12,25.6
2023-07-13,27.2
2023-07-14,29.8
2023-07-15,28.2
2023-07-16,26.0
2023-07-17,27.8
2023-07-18,33.6
2023-07-19,28.0
2023-07-20,26.5
2023-07-21,24.5
2023-07-22,25.5
2023-07-23,30.0
2023-07-24,26.2
2023-07-25,22.6
2023-07-26,24.1
2023-07-27,27.2
2023-07-28,26.0
2023-07-29,30.1
2023-07-30,27.2
2023-07-31,27.7
2023-08-01,27.0
2023-08-02,29.2
2023-08-03,22.5
2023-08-04,21.2
2023-08-05,23.6
2023-08-06,22.4
2023-08-07,23.8
2023-08-08,26.6
2023-08-09,30.6
2023-08-10,30.8
2023-08-11,30.5
2023-08-12,30.2
2023-08-13,29.5
2023-08-14,30.4
2023-08-15,29.2
2023-08-16,29.4
2023-08-17,29.4
2023-08-18,31.6
2023-08-19,31.6
2023-08-20,32.6
2023-08-21,32.6
2023-08-22,32.8
2023-08-23,33.4
2023-08-24,34.2
2023-08-25,30.4
2023-08-26,24.6
2023-08-27,20.5
2023-08-28,21.6
2023-08-29,21.3
2023-08-30,22.0
2023-08-31,24.2
2023-09-01,26.8
2023-09-02,20.0
2023-09-03,22.1
2023-09-04,26.5
2023-09-05,27.5
2023-09-06,26.4
2023-09-07,26.4
2023-09-08,26.2
2023-09-09,27.0
2023-09-10,26.2
2023-09-11,25.6
2023-09-12,24.5
2023-09-13,23.2
2023-09-14,24.0
2023-09-15,21.2
2023-09-16,23.5
2023-09-17,25.0
2023-09-18,21.8
2023-09-19,22.6
2023-09-20,22.6
2023-09-21,19.8
2023-09-22,18.3
2023-09-23,18.7
2023-09-24,20.4
2023-09-25,22.5
2023-09-26,23.7
2023-09-27,23.6
2023-09-28,24.9
2023-09-29,25.2
2023-09-30,25.7
2023-10-01,25.8
2023-10-02,24.7
2023-10-03,24.4
2023-10-04,23.8
2023-10-05,25.0
2023-10-06,24.3
2023-10-07,23.8
2023-10-08,23.8
2023-10-09,23.6
2023-10-10,21.9
2023-10-11,21.4
2023-10-12,21.2
2023-10-13,22.8
2023-10-14,21.5
2023-10-15,20.2
2023-10-16,19.8
2023-10-17,21.1
2023-10-18,23.3
2023-10-19,18.0
2023-10-20,17.8
2023-10-21,15.4
2023-10-22,14.7
2023-10-23,18.1
2023-10-24,16.4
2023-10-25,17.8
2023-10-26,20.4
2023-10-27,16.4
2023-10-28,18.0
2023-10-29,21.2
2023-10-30,16.2
2023-10-31,14.6
