station,temp_diff,lat,lon,svf,ndvi,imd
4,3.847116883116883,40.4238822954166,-3.71225674228054,0.5781535,0.10784272,74
8,3.9084675324675326,40.42155325594907,-3.6823158374736376,0.72023875,0.32917106,0
16,3.6342857142857135,40.44004565444046,-3.6392421879987737,0.6750088,0.19832285,63
18,4.260862703840084,40.39478247721907,-3.7318355959154657,0.38579655,0.18760166,0
24,2.9259685863874347,40.419357688955614,-3.747344497717923,0.99000144,0.10421875,52
35,4.527873114924597,40.41920904641193,-3.703166144124266,0.5025339,0.37555802,0
36,3.378805194805195,40.40795170856606,-3.6453103529409763,0.771965,0.06372626,52
38,3.761796536796537,40.44554393869477,-3.7071302141495996,0.5783785,0.31325838,0
39,3.707428571428572,40.478232149542464,-3.7115363640885257,0.8596228,0.18849708,0
54,3.9013506493506496,40.37301182509155,-3.61213945030592,0.9338817,0.07382315,45
56,4.153742203742204,40.385033549438035,-3.718767921558988,0.7346903,0.17503862,0
58,2.149740124740125,40.51807009458032,-3.774610070917239,0.5535297,0.24047112,0
59,2.882101372756072,40.460725525381555,-3.6163407459790413,0.9183319,0.07487302,76
102,0.445125786163522,40.39861109207734,-3.6369444784792737,0.858115,0.13818967,86
103,1.0684511434511437,40.34944444162401,-3.7108333915346905,0.88165826,0.14207461,47
106,0.0,40.441041331993375,-3.7413102998798964,0.86706805,0.47991425,72
107,1.091730655640874,40.46159820034982,-3.6579757803890587,0.66190326,0.105372295,90
108,1.0202702702702704,40.475453897095036,-3.719191261734093,0.6937848,0.2291014,0
110,3.8782135076252726,40.41441860278725,-3.712101299030918,0.83829015,0.47116,0
111,4.3087074829931975,40.421468049131754,-3.6816773349979406,0.54406923,0.2075343,45
112,4.698545454545455,40.39529016107397,-3.6677640448721003,0.7490471,0.050620403,17
114,4.885224719101124,40.391362376587885,-3.6989396588349504,0.88778317,0.09721714,38
