date,time,temp
2023-05-31,21:03:22,21.3
2023-05-31,21:13:37,21.1
2023-05-31,21:23:52,21.0
2023-05-31,21:33:16,20.7
2023-05-31,21:43:31,20.5
2023-05-31,21:58:54,20.4
2023-05-31,22:09:09,20.4
2023-05-31,22:23:41,20.5
2023-05-31,22:33:56,20.5
2023-05-31,22:44:11,20.6
2023-05-31,22:59:34,20.5
2023-05-31,23:14:06,20.4
2023-05-31,23:24:21,20.4
2023-05-31,23:34:36,20.4
2023-05-31,23:49:59,20.4
2023-05-31,23:59:23,20.3
2023-06-01,00:09:38,20.3
2023-06-01,00:25:01,20.3
2023-06-01,00:35:16,20.2
2023-06-01,00:49:48,20.2
2023-06-01,01:00:03,20.1
2023-06-01,01:15:26,20.1
2023-06-01,01:25:41,20.0
2023-06-01,01:40:13,19.9
2023-06-01,01:50:28,19.8
2023-06-01,02:00:43,19.7
2023-06-01,02:16:06,19.6
2023-06-01,02:31:29,19.5
2023-06-01,02:40:53,19.5
2023-06-01,02:51:08,19.5
2023-06-01,03:06:31,19.4
2023-06-01,03:16:46,19.3
2023-06-01,03:31:18,19.3
2023-06-01,03:41:33,19.3
2023-06-01,03:51:48,19.3
2023-06-01,04:07:11,19.2
2023-06-01,04:21:43,19.1
2023-06-01,04:31:58,19.0
2023-06-01,04:42:13,18.8
2023-06-01,04:57:36,18.5
2023-06-01,05:07:00,18.4
2023-06-01,05:17:15,18.4
2023-06-01,05:32:38,18.3
2023-06-01,05:47:10,18.1
2023-06-01,05:57:25,18.0
2023-06-01,06:07:40,17.8
2023-06-01,06:23:03,17.6
2023-06-01,06:33:18,17.5
2023-06-01,06:42:42,17.4
2023-06-01,06:58:05,17.4
2023-06-01,07:08:20,17.3
2023-06-01,07:22:52,17.3
2023-06-01,07:33:07,17.4
2023-06-01,07:48:30,17.6
2023-06-01,07:58:45,17.7
2023-06-01,08:08:09,17.8
2023-06-01,08:23:32,17.9
2023-06-01,08:33:47,17.9
2023-06-01,08:49:10,17.9
2023-06-01,08:58:34,17.9
2023-06-01,09:08:49,17.9
2023-06-01,09:24:12,17.9
2023-06-01,09:38:44,17.9
2023-06-01,09:48:59,17.9
2023-06-01,09:59:14,17.8
2023-06-01,10:14:37,17.9
2023-06-01,10:24:01,17.9
2023-06-01,10:34:16,18.0
2023-06-01,10:49:39,18.3
2023-06-01,11:05:02,18.7
2023-06-01,11:14:26,18.9
2023-06-01,11:24:41,19.1
2023-06-01,11:40:04,19.5
2023-06-01,11:50:19,19.9
2023-06-01,11:59:43,20.1
2023-06-01,12:15:06,20.3
2023-06-01,12:25:21,20.1
2023-06-01,12:39:53,20.3
2023-06-01,13:05:32,20.8
2023-06-01,13:15:47,20.8
2023-06-01,13:25:11,20.9
2023-06-01,13:40:34,21.5
2023-06-01,13:50:49,21.9
2023-06-01,14:06:12,22.5
2023-06-01,14:15:36,22.6
2023-06-01,14:25:51,22.5
2023-06-01,14:41:14,22.9
2023-06-01,14:51:29,23.4
2023-06-01,15:00:53,23.6
2023-06-01,15:11:08,23.6
2023-06-01,15:21:23,23.6
2023-06-01,15:31:38,23.6
2023-06-01,15:41:02,23.6
2023-06-01,15:51:17,23.5
2023-06-01,16:06:40,23.5
2023-06-01,16:22:03,23.6
2023-06-01,16:31:27,23.8
2023-06-01,16:41:42,24.0
2023-06-01,16:57:05,24.4
2023-06-01,17:07:20,24.7
2023-06-01,17:16:44,24.7
2023-06-01,17:32:07,24.9
2023-06-01,17:42:22,25.0
2023-06-01,17:56:54,24.6
2023-06-01,18:07:09,23.6
2023-06-01,18:22:32,22.4
2023-06-01,18:32:47,21.5
2023-06-01,18:42:11,20.5
2023-06-01,18:57:34,19.5
2023-06-01,19:07:49,19.3
2023-06-01,19:22:21,19.3
2023-06-01,19:32:36,19.2
2023-06-01,19:42:51,19.1
2023-06-01,19:58:14,18.8
2023-06-01,20:07:38,18.7
2023-06-01,20:23:01,18.7
2023-06-01,20:33:16,18.6
2023-06-01,20:48:39,18.6
2023-06-01,20:58:04,18.6
2023-06-01,21:03:12,18.5
2023-06-01,21:13:27,18.4
2023-06-01,21:23:42,18.3
2023-06-01,21:33:57,18.3
2023-06-01,21:43:21,18.3
2023-06-01,21:58:44,18.3
2023-06-01,22:14:07,18.3
2023-06-01,22:24:22,18.2
2023-06-01,22:33:46,18.2
2023-06-01,22:49:09,18.1
2023-06-01,22:59:24,18.1
2023-06-01,23:13:56,18.0
2023-06-01,23:24:11,18.0
2023-06-01,23:39:34,17.9
2023-06-01,23:49:49,17.8
2023-06-02,00:05:12,17.7
2023-06-02,00:14:36,17.6
2023-06-02,00:24:51,17.4
2023-06-02,00:40:14,17.3
2023-06-02,00:50:29,17.2
2023-06-02,00:59:53,17.1
2023-06-02,01:15:16,16.9
2023-06-02,01:30:39,16.8
2023-06-02,01:40:54,16.8
2023-06-02,01:50:18,16.7
2023-06-02,02:05:41,16.5
2023-06-02,02:15:56,16.4
2023-06-02,02:31:19,16.3
2023-06-02,02:40:43,16.1
2023-06-02,02:50:58,16.0
2023-06-02,03:06:21,15.8
2023-06-02,03:20:53,15.7
2023-06-02,03:31:08,15.6
2023-06-02,03:41:23,15.6
2023-06-02,03:56:46,15.4
2023-06-02,04:07:01,15.4
2023-06-02,04:16:25,15.3
2023-06-02,04:31:48,15.3
2023-06-02,04:47:11,15.3
2023-06-02,04:56:35,15.3
2023-06-02,05:06:50,15.4
2023-06-02,05:22:13,15.6
2023-06-02,05:32:28,15.8
2023-06-02,05:41:52,15.9
2023-06-02,05:57:15,16.3
2023-06-02,06:07:30,16.6
2023-06-02,06:22:53,17.0
2023-06-02,06:32:17,17.3
2023-06-02,06:47:40,17.8
2023-06-02,06:57:55,18.1
2023-06-02,07:12:27,18.6
2023-06-02,07:22:42,18.9
2023-06-02,07:32:57,19.4
2023-06-02,07:48:20,19.9
2023-06-02,07:57:44,20.3
2023-06-02,08:07:59,20.6
2023-06-02,08:23:22,21.0
2023-06-02,08:37:54,21.4
2023-06-02,08:48:09,21.7
2023-06-02,08:58:24,21.9
2023-06-02,09:13:47,22.2
2023-06-02,09:23:11,22.4
2023-06-02,09:33:26,22.5
2023-06-02,09:48:49,22.9
2023-06-02,10:04:12,23.6
2023-06-02,10:13:36,23.9
2023-06-02,10:23:51,24.4
2023-06-02,10:39:14,24.9
2023-06-02,10:49:29,25.2
2023-06-02,10:58:53,25.5
2023-06-02,11:14:16,25.9
2023-06-02,11:24:31,26.1
2023-06-02,11:39:03,26.4
2023-06-02,11:49:18,26.6
2023-06-02,12:04:41,27.0
2023-06-02,12:14:56,27.3
2023-06-02,12:24:20,27.5
2023-06-02,12:39:43,27.9
2023-06-02,12:49:58,28.1
2023-06-02,13:05:21,28.4
2023-06-02,13:14:45,28.5
2023-06-02,13:25:00,28.7
2023-06-02,13:40:23,29.0
2023-06-02,13:54:55,29.3
2023-06-02,14:05:10,29.5
2023-06-02,14:15:25,29.7
2023-06-02,14:30:48,29.8
2023-06-02,14:40:12,29.8
2023-06-02,14:50:27,29.9
2023-06-02,15:05:50,30.2
2023-06-02,15:21:13,30.4
2023-06-02,15:30:37,30.4
2023-06-02,15:40:52,30.4
2023-06-02,15:56:15,30.5
2023-06-02,16:06:30,30.7
2023-06-02,16:15:54,30.7
2023-06-02,16:31:17,30.9
2023-06-02,16:41:32,30.8
2023-06-02,16:56:04,30.9
2023-06-02,17:06:19,30.9
2023-06-02,17:21:42,30.9
2023-06-02,17:31:57,30.8
2023-06-02,17:41:21,30.6
2023-06-02,17:56:44,30.7
2023-06-02,18:06:59,30.7
2023-06-02,18:22:22,30.6
2023-06-02,18:31:46,30.4
2023-06-02,18:42:01,30.2
2023-06-02,18:57:24,29.6
2023-06-02,19:06:48,28.9
2023-06-02,19:22:11,27.9
2023-06-02,19:32:26,27.3
2023-06-02,19:47:49,26.2
2023-06-02,19:57:13,25.5
2023-06-02,20:07:28,24.8
2023-06-02,20:22:51,24.0
2023-06-02,20:37:23,23.4
2023-06-02,20:47:38,23.0
