"date","Temp","Hum"
2020-01-01 00:00:00,3,84.68
2020-01-01 01:00:00,3.13,85.13
2020-01-01 02:00:00,2.48,86.59
2020-01-01 03:00:00,2.23,87.65
2020-01-01 04:00:00,1.97,88.4
2020-01-01 05:00:00,1.93,88.79
2020-01-01 06:00:00,1.84,88.87
2020-01-01 07:00:00,1.8,89.26
2020-01-01 08:00:00,2.1,88.93
2020-01-01 09:00:00,1.93,89.59
2020-01-01 10:00:00,1.97,89.2
2020-01-01 11:00:00,2.23,88.07
2020-01-01 12:00:00,2.4,87.4
2020-01-01 13:00:00,2.53,86.62
2020-01-01 14:00:00,2.92,85.38
2020-01-01 15:00:00,2.92,85.78
2020-01-01 16:00:00,3.08,85.41
2020-01-01 17:00:00,2.92,85.47
2020-01-01 18:00:00,2.78,86.17
2020-01-01 19:00:00,2.62,86.95
2020-01-01 20:00:00,2.62,87.34
2020-01-01 21:00:00,2.57,87.34
2020-01-01 22:00:00,2.53,87.31
2020-01-01 23:00:00,2.7,87.06
2020-01-02 00:00:00,2.48,87.31
2020-01-02 01:00:00,2.06,88.43
2020-01-02 02:00:00,1.93,88.79
2020-01-02 03:00:00,1.76,88.84
2020-01-02 04:00:00,1.58,89.51
2020-01-02 05:00:00,1.41,89.56
2020-01-02 06:00:00,1.46,89.59
2020-01-02 07:00:00,1.41,89.06
2020-01-02 08:00:00,1.37,89.45
2020-01-02 09:00:00,1.58,88.01
2020-01-02 10:00:00,2.06,87.31
2020-01-02 11:00:00,2.01,86.39
2020-01-02 12:00:00,1.88,87.68
2020-01-02 13:00:00,2.27,86.56
2020-01-02 14:00:00,2.57,86.11
2020-01-02 15:00:00,2.7,85.72
2020-01-02 16:00:00,2.48,86.9
2020-01-02 17:00:00,2.62,84.99
2020-01-02 18:00:00,2.78,84.93
2020-01-02 19:00:00,2.57,84.99
2020-01-02 20:00:00,2.96,83.72
2020-01-02 21:00:00,2.78,84.12
2020-01-02 22:00:00,2.74,84.51
2020-01-02 23:00:00,2.57,84.99
2020-01-03 00:00:00,2.36,85.24
2020-01-03 01:00:00,2.01,87.29
2020-01-03 02:00:00,2.23,86.53
2020-01-03 03:00:00,2.06,86.81
2020-01-03 04:00:00,2.06,87.7
2020-01-03 05:00:00,2.06,88.12
2020-01-03 06:00:00,1.54,88.79
2020-01-03 07:00:00,1.63,87.9
2020-01-03 08:00:00,1.07,87.76
2020-01-03 09:00:00,1.28,87.54
2020-01-03 10:00:00,1.5,87.17
