"date","Temp","Hum"
2020-01-01 00:00:00,2.48,87.43
2020-01-01 01:00:00,2.1,88.54
2020-01-01 02:00:00,1.76,90.42
2020-01-01 03:00:00,1.41,91.16
2020-01-01 04:00:00,1.33,91.49
2020-01-01 05:00:00,1.16,92.61
2020-01-01 06:00:00,1.11,92.61
2020-01-01 07:00:00,1.07,92.66
2020-01-01 08:00:00,1.11,93.07
2020-01-01 09:00:00,1.07,92.66
2020-01-01 10:00:00,1.11,93.01
2020-01-01 11:00:00,1.2,92.66
2020-01-01 12:00:00,1.54,91.16
2020-01-01 13:00:00,2.01,89.73
2020-01-01 14:00:00,2.1,89.64
2020-01-01 15:00:00,2.36,88.59
2020-01-01 16:00:00,2.4,88.62
2020-01-01 17:00:00,2.4,88.51
2020-01-01 18:00:00,2.06,89.23
2020-01-01 19:00:00,2.14,89.64
2020-01-01 20:00:00,2.1,89.34
2020-01-01 21:00:00,1.93,90.09
2020-01-01 22:00:00,1.8,90.42
2020-01-01 23:00:00,1.8,90.83
2020-01-02 00:00:00,1.67,90.77
2020-01-02 01:00:00,1.46,91.13
2020-01-02 02:00:00,1.37,91.95
2020-01-02 03:00:00,0.94,92.61
2020-01-02 04:00:00,0.73,92.96
2020-01-02 05:00:00,0.51,93.67
2020-01-02 06:00:00,0.64,93.67
2020-01-02 07:00:00,0.38,93.18
2020-01-02 08:00:00,0.3,93.18
2020-01-02 09:00:00,0.64,92.52
2020-01-02 10:00:00,0.98,91.79
2020-01-02 11:00:00,0.73,92.5
2020-01-02 12:00:00,0.81,92.14
2020-01-02 13:00:00,1.24,91.87
2020-01-02 14:00:00,1.24,91.87
2020-01-02 15:00:00,1.5,91.54
2020-01-02 16:00:00,1.76,91.24
2020-01-02 17:00:00,1.46,90.72
2020-01-02 18:00:00,1.67,89.95
2020-01-02 19:00:00,1.71,89.53
2020-01-02 20:00:00,1.67,89.23
2020-01-02 21:00:00,1.71,89.23
2020-01-02 22:00:00,1.88,88.9
2020-01-02 23:00:00,1.63,89.12
2020-01-03 00:00:00,1.2,90.31
2020-01-03 01:00:00,1.11,91.49
2020-01-03 02:00:00,1.28,91.13
2020-01-03 03:00:00,1.28,90.69
2020-01-03 04:00:00,1.41,91.1
2020-01-03 05:00:00,1.28,91.87
2020-01-03 06:00:00,1.03,91.84
2020-01-03 07:00:00,0.86,91.4
2020-01-03 08:00:00,0.34,91.24
2020-01-03 09:00:00,0.6,91.35
2020-01-03 10:00:00,0.94,90.58
2020-01-03 11:00:00,1.46,89.59
2020-01-03 12:00:00,2.83,86.17
2020-01-03 13:00:00,3.6,85.13
2020-01-03 14:00:00,4.76,82.16
2020-01-03 15:00:00,6.13,78.55
2020-01-03 16:00:00,6.61,78.18
2020-01-03 17:00:00,6.43,80.33
2020-01-03 18:00:00,6.99,81.73
2020-01-03 19:00:00,7.25,83.16
2020-01-03 20:00:00,8.41,82.45
2020-01-03 21:00:00,7.25,84.31
2020-01-03 22:00:00,7.76,84.96
2020-01-03 23:00:00,7.59,85.78
2020-01-04 00:00:00,7.51,86.06
2020-01-04 01:00:00,5.14,89.62
2020-01-04 02:00:00,3.99,84.91
2020-01-04 03:00:00,6.43,87.87
2020-01-04 04:00:00,1.63,88.73
2020-01-04 05:00:00,2.14,88.45
2020-01-04 06:00:00,3.34,86.39
2020-01-04 07:00:00,0.04,90.36
2020-01-04 08:00:00,0.98,88.95
2020-01-04 09:00:00,0.04,91.21
2020-01-04 10:00:00,0.9,92.55
2020-01-04 11:00:00,3.47,88.07
2020-01-04 12:00:00,6.43,83.72
2020-01-04 13:00:00,13.43,69.45
2020-01-04 14:00:00,13.64,67.09
2020-01-04 15:00:00,13.86,63.27
2020-01-04 16:00:00,12.82,65.15
2020-01-04 17:00:00,11.49,69.36
2020-01-04 18:00:00,10.51,71.62
2020-01-04 19:00:00,9.65,75.04
2020-01-04 20:00:00,8.96,75.21
2020-01-04 21:00:00,8.41,76.87
2020-01-04 22:00:00,7.98,78.52
2020-01-04 23:00:00,7.59,79.79
2020-01-05 00:00:00,7.51,78.93
2020-01-05 01:00:00,7.29,79.19
2020-01-05 02:00:00,6.99,80.13
2020-01-05 03:00:00,6.69,79.62
2020-01-05 04:00:00,6.43,79.56
2020-01-05 05:00:00,6.31,79.53
2020-01-05 06:00:00,4.93,81.68
2020-01-05 07:00:00,4.33,82.79
2020-01-05 08:00:00,3.73,84.34
2020-01-05 09:00:00,3.13,85.95
2020-01-05 10:00:00,4.54,82.84
2020-01-05 11:00:00,7.51,75.85
2020-01-05 12:00:00,10.55,65.97
2020-01-05 13:00:00,11.97,58.47
2020-01-05 14:00:00,13.17,54.76
2020-01-05 15:00:00,13.34,53.09
2020-01-05 16:00:00,13.21,54.79
2020-01-05 17:00:00,11.32,60.02
2020-01-05 18:00:00,9.87,69.18
2020-01-05 19:00:00,7.12,80.05
2020-01-05 20:00:00,5.74,83.21
2020-01-05 21:00:00,4.2,87.43
2020-01-05 22:00:00,3.73,89.34
2020-01-05 23:00:00,3.86,91.4
2020-01-06 00:00:00,3.47,92.5
2020-01-06 01:00:00,3.17,93.15
2020-01-06 02:00:00,3.17,93.56
2020-01-06 03:00:00,3.26,93.94
2020-01-06 04:00:00,3.34,94.05
2020-01-06 05:00:00,2.92,94.29
2020-01-06 06:00:00,2.36,94.18
2020-01-06 07:00:00,2.36,94.15
2020-01-06 08:00:00,2.4,94.18
2020-01-06 09:00:00,2.57,94.24
2020-01-06 10:00:00,2.66,93.86
2020-01-06 11:00:00,2.53,93.4
2020-01-06 12:00:00,2.62,92.28
2020-01-06 13:00:00,2.66,92.22
2020-01-06 14:00:00,2.96,91.16
2020-01-06 15:00:00,3.3,89.23
2020-01-06 16:00:00,3.17,90.33
2020-01-06 17:00:00,2.7,91.49
2020-01-06 18:00:00,2.87,92.33
2020-01-06 19:00:00,2.96,92.77
2020-01-06 20:00:00,2.87,93.12
2020-01-06 21:00:00,2.78,93.1
2020-01-06 22:00:00,2.4,92.55
2020-01-06 23:00:00,2.27,92.5
2020-01-07 00:00:00,2.14,92.88
2020-01-07 01:00:00,2.31,92.93
2020-01-07 02:00:00,2.27,92.93
