"date","Temp","Hum"
2020-01-01 00:00:00,2.62,86.95
2020-01-01 01:00:00,2.27,89.28
2020-01-01 02:00:00,2.1,89.34
2020-01-01 03:00:00,1.58,91.6
2020-01-01 04:00:00,1.71,91.18
2020-01-01 05:00:00,1.41,92.33
2020-01-01 06:00:00,1.07,92.25
2020-01-01 07:00:00,1.41,92.74
2020-01-01 08:00:00,1.63,93.15
2020-01-01 09:00:00,1.54,92.72
2020-01-01 10:00:00,1.88,91.62
2020-01-01 11:00:00,2.01,91.7
2020-01-01 12:00:00,1.97,90.86
2020-01-01 13:00:00,2.27,90.14
2020-01-01 14:00:00,2.48,88.93
2020-01-01 15:00:00,2.18,89.26
2020-01-01 16:00:00,2.74,88.29
2020-01-01 17:00:00,2.48,89.34
2020-01-01 18:00:00,2.48,89.84
2020-01-01 19:00:00,2.44,89.73
2020-01-01 20:00:00,1.93,91.24
2020-01-01 21:00:00,2.31,90.11
2020-01-01 22:00:00,1.84,91.68
2020-01-01 23:00:00,2.27,90.14
2020-01-02 00:00:00,1.93,90.44
2020-01-02 01:00:00,1.63,91.62
2020-01-02 02:00:00,1.33,92.31
2020-01-02 03:00:00,1.11,93.4
2020-01-02 04:00:00,1.07,93.04
2020-01-02 05:00:00,0.81,93.75
2020-01-02 06:00:00,0.94,93.4
2020-01-02 07:00:00,0.86,93.75
2020-01-02 08:00:00,0.9,92.61
2020-01-02 09:00:00,0.6,94.1
2020-01-02 10:00:00,1.16,92.66
2020-01-02 11:00:00,1.03,93.01
2020-01-02 12:00:00,0.98,93.37
2020-01-02 13:00:00,1.07,92.66
2020-01-02 14:00:00,1.46,92.31
2020-01-02 15:00:00,1.41,91.57
2020-01-02 16:00:00,1.84,91.21
2020-01-02 17:00:00,1.8,90.83
2020-01-02 18:00:00,1.71,90
2020-01-02 19:00:00,1.84,89.67
2020-01-02 20:00:00,1.93,89.28
2020-01-02 21:00:00,2.06,88.54
2020-01-02 22:00:00,1.58,89.95
2020-01-02 23:00:00,1.58,90.42
2020-01-03 00:00:00,1.2,90.72
2020-01-03 01:00:00,1.46,91.16
2020-01-03 02:00:00,1.41,91.16
