"date","Temp","Hum"
2020-01-01 00:00:00,2.101,91.603
2020-01-01 01:00:00,1.751,93.289
2020-01-01 02:00:00,1.344,94.745
2020-01-01 03:00:00,1.126,96.09
2020-01-01 04:00:00,1.126,96.139
2020-01-01 05:00:00,0.852,97.264
2020-01-01 06:00:00,0.907,97.853
2020-01-01 07:00:00,0.77,98.005
2020-01-01 08:00:00,0.88,98.037
2020-01-01 09:00:00,0.77,98.101
2020-01-01 10:00:00,0.88,97.893
2020-01-01 11:00:00,1.126,97.101
2020-01-01 12:00:00,1.453,95.842
2020-01-01 13:00:00,1.832,93.9
2020-01-01 14:00:00,2.101,92.989
2020-01-01 15:00:00,2.182,92.813
2020-01-01 16:00:00,2.155,93.028
2020-01-01 17:00:00,1.913,93.578
2020-01-01 18:00:00,1.615,94.624
2020-01-01 19:00:00,1.751,94.612
2020-01-01 20:00:00,1.643,94.826
2020-01-01 21:00:00,1.697,95.036
2020-01-01 22:00:00,1.588,94.811
2020-01-01 23:00:00,1.425,95.69
2020-01-02 00:00:00,1.262,96.056
2020-01-02 01:00:00,1.071,96.702
2020-01-02 02:00:00,0.797,97.177
2020-01-02 03:00:00,0.55,97.514
2020-01-02 04:00:00,0.329,97.975
2020-01-02 05:00:00,0.384,98.538
2020-01-02 06:00:00,0.301,98.632
2020-01-02 07:00:00,0.079,98.284
2020-01-02 08:00:00,0.163,98.166
2020-01-02 09:00:00,0.301,97.324
2020-01-02 10:00:00,0.66,96.395
2020-01-02 11:00:00,0.384,96.75
2020-01-02 12:00:00,0.687,96.738
2020-01-02 13:00:00,1.017,96.59
2020-01-02 14:00:00,1.371,96.062
2020-01-02 15:00:00,1.398,95.634
2020-01-02 16:00:00,1.507,95.13
2020-01-02 17:00:00,1.425,94.889
2020-01-02 18:00:00,1.371,94.02
2020-01-02 19:00:00,1.371,93.629
2020-01-02 20:00:00,1.48,93.29
2020-01-02 21:00:00,1.643,93.873
2020-01-02 22:00:00,1.371,93.874
2020-01-02 23:00:00,1.344,93.964
2020-01-03 00:00:00,1.044,93.737
2020-01-03 01:00:00,1.099,94.483
2020-01-03 02:00:00,1.044,95.173
2020-01-03 03:00:00,1.18,95.283
2020-01-03 04:00:00,1.208,95.339
2020-01-03 05:00:00,1.044,95.826
2020-01-03 06:00:00,0.687,96.882
2020-01-03 07:00:00,0.301,95.766
2020-01-03 08:00:00,0.329,95.677
2020-01-03 09:00:00,0.495,95.143
2020-01-03 10:00:00,0.852,94.319
2020-01-03 11:00:00,1.697,92.141
2020-01-03 12:00:00,2.503,90.186
2020-01-03 13:00:00,3.538,87.59
2020-01-03 14:00:00,4.921,83.375
2020-01-03 15:00:00,6.179,79.825
2020-01-03 16:00:00,6.153,81.763
2020-01-03 17:00:00,5.847,85.343
2020-01-03 18:00:00,5.821,89.257
2020-01-03 19:00:00,7.97,86.269
2020-01-03 20:00:00,8.17,85.478
2020-01-03 21:00:00,7.67,88.613
2020-01-03 22:00:00,8.07,86.946
2020-01-03 23:00:00,7.444,89.741
2020-01-04 00:00:00,7.217,90.453
2020-01-04 01:00:00,6.864,90.388
2020-01-04 02:00:00,6.864,90.771
2020-01-04 03:00:00,7.041,89.589
2020-01-04 04:00:00,6.484,91.537
2020-01-04 05:00:00,6.357,91.859
2020-01-04 06:00:00,6.763,91
2020-01-04 07:00:00,6.535,90.483
2020-01-04 08:00:00,6.051,86.975
2020-01-04 09:00:00,4.089,83.181
2020-01-04 10:00:00,4.869,80.836
2020-01-04 11:00:00,8.519,75.804
2020-01-04 12:00:00,12.074,72.715
2020-01-04 13:00:00,13.786,65.35
2020-01-04 14:00:00,13.666,63.779
2020-01-04 15:00:00,13.594,61.971
2020-01-04 16:00:00,12.413,66.21
2020-01-04 17:00:00,11.005,69.991
2020-01-04 18:00:00,10.075,73.661
2020-01-04 19:00:00,9.287,77.008
2020-01-04 20:00:00,8.593,77.161
2020-01-04 21:00:00,8.27,80.074
2020-01-04 22:00:00,7.72,80.785
2020-01-04 23:00:00,7.619,80.976
2020-01-05 00:00:00,7.368,80.358
2020-01-05 01:00:00,7.142,82.44
2020-01-05 02:00:00,6.737,81.63
2020-01-05 03:00:00,6.509,81.313
2020-01-05 04:00:00,6.56,81.643
2020-01-05 05:00:00,6.102,81.539
2020-01-05 06:00:00,5.205,83.179
2020-01-05 07:00:00,5.282,80.982
2020-01-05 08:00:00,3.433,88.429
2020-01-05 09:00:00,5.385,83.85
2020-01-05 10:00:00,6.128,78.204
2020-01-05 11:00:00,8.17,71.915
2020-01-05 12:00:00,10.883,61.753
2020-01-05 13:00:00,12.413,50.178
2020-01-05 14:00:00,12.727,48.868
2020-01-05 15:00:00,12.871,49.01
2020-01-05 16:00:00,11.807,55.343
2020-01-05 17:00:00,9.706,65.294
2020-01-05 18:00:00,9.015,74.805
2020-01-05 19:00:00,7.066,82.449
2020-01-05 20:00:00,5.282,88.713
2020-01-05 21:00:00,4.037,93.801
2020-01-05 22:00:00,3.512,95.825
2020-01-05 23:00:00,3.67,96.941
2020-01-06 00:00:00,3.274,97.365
2020-01-06 01:00:00,3.248,98.42
2020-01-06 02:00:00,3.009,98.737
2020-01-06 03:00:00,3.116,99.007
2020-01-06 04:00:00,3.168,98.974
2020-01-06 05:00:00,2.637,98.919
2020-01-06 06:00:00,2.236,99.306
2020-01-06 07:00:00,2.343,99.551
2020-01-06 08:00:00,2.477,99.637
2020-01-06 09:00:00,2.37,99.416
2020-01-06 10:00:00,2.45,99.725
2020-01-06 11:00:00,2.53,99.7
2020-01-06 12:00:00,2.45,98.866
2020-01-06 13:00:00,2.557,98.321
2020-01-06 14:00:00,2.983,96.411
2020-01-06 15:00:00,3.248,94.035
2020-01-06 16:00:00,2.956,94.768
2020-01-06 17:00:00,2.744,96.247
2020-01-06 18:00:00,2.717,97.403
2020-01-06 19:00:00,2.77,97.852
2020-01-06 20:00:00,2.77,97.948
2020-01-06 21:00:00,2.584,97.896
2020-01-06 22:00:00,2.128,97.527
2020-01-06 23:00:00,2.047,97.985
2020-01-07 00:00:00,2.047,97.745
2020-01-07 01:00:00,2.155,97.967
2020-01-07 02:00:00,2.155,98.063
2020-01-07 03:00:00,1.913,98.138
2020-01-07 04:00:00,1.48,97.8
2020-01-07 05:00:00,1.643,98.014
2020-01-07 06:00:00,1.805,98.251
2020-01-07 07:00:00,1.643,98.802
2020-01-07 08:00:00,1.643,99.278
2020-01-07 09:00:00,1.48,99.065
2020-01-07 10:00:00,1.778,99.008
