"date","Temp","Hum"
2020-01-01 00:00:00,2.343,91.318
2020-01-01 01:00:00,2.209,91.979
2020-01-01 02:00:00,1.751,93.191
2020-01-01 03:00:00,1.67,94.077
2020-01-01 04:00:00,1.534,94.699
2020-01-01 05:00:00,1.398,95.197
2020-01-01 06:00:00,1.371,95.238
2020-01-01 07:00:00,1.262,95.814
2020-01-01 08:00:00,1.344,95.885
2020-01-01 09:00:00,1.425,95.786
2020-01-01 10:00:00,1.534,95.671
2020-01-01 11:00:00,1.805,94.626
2020-01-01 12:00:00,1.994,93.993
2020-01-01 13:00:00,2.209,92.968
2020-01-01 14:00:00,2.53,92.905
2020-01-01 15:00:00,2.53,92.262
2020-01-01 16:00:00,2.37,91.723
2020-01-01 17:00:00,2.209,92.672
2020-01-01 18:00:00,2.021,93.337
2020-01-01 19:00:00,1.967,93.838
2020-01-01 20:00:00,1.913,93.995
2020-01-01 21:00:00,1.751,94.66
2020-01-01 22:00:00,1.643,94.972
2020-01-01 23:00:00,1.643,95.021
2020-01-02 00:00:00,1.588,94.957
2020-01-02 01:00:00,1.453,95.552
2020-01-02 02:00:00,1.18,95.912
2020-01-02 03:00:00,1.044,96.212
2020-01-02 04:00:00,0.907,96.319
2020-01-02 05:00:00,0.77,96.762
2020-01-02 06:00:00,0.825,96.873
2020-01-02 07:00:00,0.66,96.491
2020-01-02 08:00:00,0.467,96.964
2020-01-02 09:00:00,0.66,96.25
2020-01-02 10:00:00,0.989,96.053
2020-01-02 11:00:00,1.371,95.092
2020-01-02 12:00:00,1.453,94.116
2020-01-02 13:00:00,1.697,94.621
2020-01-02 14:00:00,1.913,93.382
2020-01-02 15:00:00,1.967,93.74
2020-01-02 16:00:00,2.047,93.565
2020-01-02 17:00:00,1.94,93.708
2020-01-02 18:00:00,1.94,93.34
2020-01-02 19:00:00,1.94,93.266
2020-01-02 20:00:00,1.913,93.234
2020-01-02 21:00:00,1.859,93.318
2020-01-02 22:00:00,1.859,93.416
2020-01-02 23:00:00,1.859,92.826
2020-01-03 00:00:00,1.643,92.571
2020-01-03 01:00:00,1.534,93.55
2020-01-03 02:00:00,1.507,93.861
2020-01-03 03:00:00,1.425,94.377
2020-01-03 04:00:00,1.48,94.147
2020-01-03 05:00:00,1.317,94.591
2020-01-03 06:00:00,1.099,95.406
2020-01-03 07:00:00,0.797,93.963
2020-01-03 08:00:00,0.495,94.367
2020-01-03 09:00:00,0.825,94.555
2020-01-03 10:00:00,1.262,93.306
2020-01-03 11:00:00,2.074,92.191
2020-01-03 12:00:00,2.983,89.857
2020-01-03 13:00:00,3.67,88.336
2020-01-03 14:00:00,4.895,85.245
2020-01-03 15:00:00,6.051,82.533
2020-01-03 16:00:00,5.975,83.753
2020-01-03 17:00:00,5.179,86.504
2020-01-03 18:00:00,4.454,89.599
2020-01-03 19:00:00,4.688,95.803
2020-01-03 20:00:00,7.519,89.426
2020-01-03 21:00:00,5.668,90.085
2020-01-03 22:00:00,6.94,92.97
2020-01-03 23:00:00,6.864,92.344
