"date","Temp","Hum"
2020-01-01 00:00:00,2.021,92.573
2020-01-01 01:00:00,1.832,93.581
2020-01-01 02:00:00,1.317,94.664
2020-01-01 03:00:00,1.262,95.766
2020-01-01 04:00:00,1.153,96.339
2020-01-01 05:00:00,0.934,96.711
2020-01-01 06:00:00,0.989,97.159
2020-01-01 07:00:00,0.934,97.598
2020-01-01 08:00:00,1.099,97.669
2020-01-01 09:00:00,1.071,97.685
2020-01-01 10:00:00,1.153,97.588
2020-01-01 11:00:00,1.398,97.082
2020-01-01 12:00:00,1.588,96.17
2020-01-01 13:00:00,1.751,95.172
2020-01-01 14:00:00,2.182,94.411
2020-01-01 15:00:00,1.967,93.396
2020-01-01 16:00:00,2.021,92.721
2020-01-01 17:00:00,1.805,93.795
2020-01-01 18:00:00,1.48,94.587
2020-01-01 19:00:00,1.425,95.107
2020-01-01 20:00:00,1.398,95.634
2020-01-01 21:00:00,1.317,95.853
2020-01-01 22:00:00,1.289,96.184
2020-01-01 23:00:00,1.317,96.385
2020-01-02 00:00:00,1.071,96.485
2020-01-02 01:00:00,0.962,96.911
2020-01-02 02:00:00,0.825,97.209
2020-01-02 03:00:00,0.577,97.593
2020-01-02 04:00:00,0.412,97.999
2020-01-02 05:00:00,0.356,98.316
2020-01-02 06:00:00,0.329,98.498
2020-01-02 07:00:00,0.218,98.609
2020-01-02 08:00:00,0.107,98.719
2020-01-02 09:00:00,0.273,98.696
2020-01-02 10:00:00,0.55,98.514
2020-01-02 11:00:00,0.88,97.32
2020-01-02 12:00:00,0.825,96.729
2020-01-02 13:00:00,1.099,96.661
2020-01-02 14:00:00,1.371,96.231
2020-01-02 15:00:00,1.67,95.028
2020-01-02 16:00:00,1.615,94.916
2020-01-02 17:00:00,1.588,94.567
2020-01-02 18:00:00,1.615,94.282
2020-01-02 19:00:00,1.67,94.028
2020-01-02 20:00:00,1.534,94.284
2020-01-02 21:00:00,1.48,94.318
2020-01-02 22:00:00,1.48,94.465
2020-01-02 23:00:00,1.561,93.974
2020-01-03 00:00:00,1.18,93.969
2020-01-03 01:00:00,1.18,94.676
2020-01-03 02:00:00,1.126,94.734
2020-01-03 03:00:00,1.208,95.29
2020-01-03 04:00:00,1.18,95.356
2020-01-03 05:00:00,1.044,95.923
2020-01-03 06:00:00,0.77,96.425
2020-01-03 07:00:00,0.329,95.605
2020-01-03 08:00:00,0.273,95.902
2020-01-03 09:00:00,0.522,95.537
2020-01-03 10:00:00,1.044,94.954
2020-01-03 11:00:00,1.778,93.296
2020-01-03 12:00:00,2.664,92.049
2020-01-03 13:00:00,3.38,89.125
2020-01-03 14:00:00,5.179,84.168
2020-01-03 15:00:00,6.153,81.206
2020-01-03 16:00:00,6.102,81.778
2020-01-03 17:00:00,4.74,86.629
2020-01-03 18:00:00,2.823,91.543
2020-01-03 19:00:00,3.538,98.358
2020-01-03 20:00:00,7.619,87.721
2020-01-03 21:00:00,4.454,91.316
2020-01-03 22:00:00,7.242,90.306
2020-01-03 23:00:00,6.965,90.899
2020-01-04 00:00:00,6.357,94.171
2020-01-04 01:00:00,2.45,91.471
2020-01-04 02:00:00,1.643,97.054
2020-01-04 03:00:00,3.617,97.121
2020-01-04 04:00:00,1.126,95.849
2020-01-04 05:00:00,-0.116,97.23
2020-01-04 06:00:00,-0.704,97.777
2020-01-04 07:00:00,-0.732,97.982
2020-01-04 08:00:00,-0.395,99.094
2020-01-04 09:00:00,0.632,97.513
2020-01-04 10:00:00,1.615,97.863
2020-01-04 11:00:00,4.662,94.018
2020-01-04 12:00:00,9.928,87.081
2020-01-04 13:00:00,13.618,66.542
2020-01-04 14:00:00,13.69,64.427
2020-01-04 15:00:00,13.594,62.914
2020-01-04 16:00:00,12.364,67.327
2020-01-04 17:00:00,10.59,72.337
2020-01-04 18:00:00,9.509,76.258
2020-01-04 19:00:00,8.742,80.152
2020-01-04 20:00:00,8.07,80.111
2020-01-04 21:00:00,7.142,83.736
2020-01-04 22:00:00,6.331,86.836
2020-01-04 23:00:00,5.924,88.54
2020-01-05 00:00:00,5.437,87.649
2020-01-05 01:00:00,4.818,90.906
2020-01-05 02:00:00,4.454,90.56
2020-01-05 03:00:00,3.985,91.295
2020-01-05 04:00:00,2.074,93.277
2020-01-05 05:00:00,2.584,94.985
2020-01-05 06:00:00,2.503,93.589
2020-01-05 07:00:00,0.77,94.442
2020-01-05 08:00:00,1.967,98.106
2020-01-05 09:00:00,4.48,87.67
2020-01-05 10:00:00,5.898,82.181
2020-01-05 11:00:00,8.045,74.027
2020-01-05 12:00:00,10.1,69.28
2020-01-05 13:00:00,11.565,57.431
2020-01-05 14:00:00,12.364,53.494
2020-01-05 15:00:00,12.775,53.341
2020-01-05 16:00:00,11.662,59.082
2020-01-05 17:00:00,7.544,76.066
2020-01-05 18:00:00,7.519,81.034
2020-01-05 19:00:00,6.026,86.295
2020-01-05 20:00:00,4.558,89.296
2020-01-05 21:00:00,3.142,94.72
2020-01-05 22:00:00,3.142,96.455
2020-01-05 23:00:00,3.089,97.893
2020-01-06 00:00:00,2.77,98.573
2020-01-06 01:00:00,2.664,99.166
2020-01-06 02:00:00,2.717,99.468
2020-01-06 03:00:00,3.168,99.693
2020-01-06 04:00:00,2.236,99.544
2020-01-06 05:00:00,1.913,99.712
2020-01-06 06:00:00,1.751,99.855
2020-01-06 07:00:00,1.859,100
2020-01-06 08:00:00,2.074,100
2020-01-06 09:00:00,2.289,100
2020-01-06 10:00:00,2.128,100
2020-01-06 11:00:00,2.182,100
2020-01-06 12:00:00,2.182,100
2020-01-06 13:00:00,2.45,100
2020-01-06 14:00:00,2.93,99.934
2020-01-06 15:00:00,2.983,98.441
2020-01-06 16:00:00,2.77,97.876
2020-01-06 17:00:00,2.664,97.653
2020-01-06 18:00:00,2.637,97.67
2020-01-06 19:00:00,2.664,98.111
2020-01-06 20:00:00,2.637,98.391
2020-01-06 21:00:00,2.45,98.386
2020-01-06 22:00:00,2.021,98.456
2020-01-06 23:00:00,1.94,98.409
2020-01-07 00:00:00,1.913,98.521
2020-01-07 01:00:00,1.94,98.72
2020-01-07 02:00:00,1.859,98.745
2020-01-07 03:00:00,1.697,99.08
2020-01-07 04:00:00,1.588,99.286
2020-01-07 05:00:00,1.643,99.492
2020-01-07 06:00:00,1.317,99.588
2020-01-07 07:00:00,1.044,99.793
2020-01-07 08:00:00,1.044,99.84
2020-01-07 09:00:00,1.071,99.943
2020-01-07 10:00:00,1.371,100
2020-01-07 11:00:00,1.724,99.966
2020-01-07 12:00:00,2.77,100
2020-01-07 13:00:00,4.454,96.671
2020-01-07 14:00:00,5.231,87.213
2020-01-07 15:00:00,6.56,83.547
2020-01-07 16:00:00,6.306,82.142
2020-01-07 17:00:00,4.454,90.913
2020-01-07 18:00:00,3.722,94.852
2020-01-07 19:00:00,4.037,95.331
2020-01-07 20:00:00,3.38,96.52
2020-01-07 21:00:00,2.77,98.261
2020-01-07 22:00:00,2.77,98.717
2020-01-07 23:00:00,2.503,99.168
2020-01-08 00:00:00,2.53,99.438
2020-01-08 01:00:00,2.664,99.667
2020-01-08 02:00:00,2.396,99.804
2020-01-08 03:00:00,2.236,99.948
2020-01-08 04:00:00,2.155,100
2020-01-08 05:00:00,2.236,100
2020-01-08 06:00:00,1.967,100
2020-01-08 07:00:00,1.859,100
2020-01-08 08:00:00,1.967,100
2020-01-08 09:00:00,2.182,100
2020-01-08 10:00:00,2.61,100
2020-01-08 11:00:00,3.089,99.765
2020-01-08 12:00:00,3.406,96.528
2020-01-08 13:00:00,3.617,94.898
2020-01-08 14:00:00,3.854,95.183
2020-01-08 15:00:00,3.906,94.705
2020-01-08 16:00:00,3.854,94.74
2020-01-08 17:00:00,3.617,95.854
2020-01-08 18:00:00,3.512,96.508
2020-01-08 19:00:00,3.301,97.518
2020-01-08 20:00:00,3.221,98.316
2020-01-08 21:00:00,3.116,98.527
2020-01-08 22:00:00,3.036,99.44
2020-01-08 23:00:00,2.956,99.68
2020-01-09 00:00:00,2.477,99.637
2020-01-09 01:00:00,2.262,99.908
2020-01-09 02:00:00,2.45,100
2020-01-09 03:00:00,2.557,99.993
2020-01-09 04:00:00,2.45,100
2020-01-09 05:00:00,2.557,100
2020-01-09 06:00:00,2.262,99.908
2020-01-09 07:00:00,2.021,99.933
2020-01-09 08:00:00,1.643,99.824
2020-01-09 09:00:00,2.021,99.767
2020-01-09 10:00:00,2.503,99.43
2020-01-09 11:00:00,2.744,99.618
2020-01-09 12:00:00,2.956,99.321
2020-01-09 13:00:00,2.717,99.109
2020-01-09 14:00:00,3.168,98.446
2020-01-09 15:00:00,2.77,98.669
2020-01-09 16:00:00,2.823,99.164
2020-01-09 17:00:00,2.877,99.609
2020-01-09 18:00:00,3.195,100
2020-01-09 19:00:00,3.142,100
2020-01-09 20:00:00,3.248,100
2020-01-09 21:00:00,3.433,100
2020-01-09 22:00:00,3.617,100
2020-01-09 23:00:00,3.749,100
2020-01-10 00:00:00,4.037,99.942
2020-01-10 01:00:00,4.402,99.253
2020-01-10 02:00:00,4.869,98.443
2020-01-10 03:00:00,5.385,97.173
2020-01-10 04:00:00,6,95.345
2020-01-10 05:00:00,5.565,95.796
2020-01-10 06:00:00,5.565,92.359
2020-01-10 07:00:00,6.128,88.231
2020-01-10 08:00:00,6.458,86.348
2020-01-10 09:00:00,7.619,82.602
2020-01-10 10:00:00,9.163,78.238
2020-01-10 11:00:00,10.638,71.785
2020-01-10 12:00:00,11.565,68.272
2020-01-10 13:00:00,12.147,63.43
2020-01-10 14:00:00,12.05,64.928
2020-01-10 15:00:00,11.71,66.632
2020-01-10 16:00:00,10.932,70.43
2020-01-10 17:00:00,9.854,74.145
2020-01-10 18:00:00,8.742,76.427
2020-01-10 19:00:00,8.145,78.778
2020-01-10 20:00:00,7.544,80.692
2020-01-10 21:00:00,7.318,80.293
2020-01-10 22:00:00,6.914,81.777
2020-01-10 23:00:00,6.889,81.346
2020-01-11 00:00:00,6.357,82.709
2020-01-11 01:00:00,6.281,81.58
2020-01-11 02:00:00,5.745,83.305
2020-01-11 03:00:00,5.411,84.327
2020-01-11 04:00:00,5.179,84.949
2020-01-11 05:00:00,4.454,86.431
2020-01-11 06:00:00,4.35,85.942
2020-01-11 07:00:00,4.298,85.929
2020-01-11 08:00:00,4.869,84.147
2020-01-11 09:00:00,6.204,78.813
2020-01-11 10:00:00,8.095,70.447
2020-01-11 11:00:00,9.583,64.696
2020-01-11 12:00:00,10.834,59.186
2020-01-11 13:00:00,11.248,58.185
2020-01-11 14:00:00,11.759,54.161
2020-01-11 15:00:00,11.953,53.767
2020-01-11 16:00:00,11.54,53.707
2020-01-11 17:00:00,8.817,62.684
2020-01-11 18:00:00,5.308,77.003
2020-01-11 19:00:00,3.063,87.37
2020-01-11 20:00:00,1.967,90.822
2020-01-11 21:00:00,0.88,93.497
2020-01-11 22:00:00,0.439,95.128
2020-01-11 23:00:00,-0.143,95.787
2020-01-12 00:00:00,-0.563,96.914
2020-01-12 01:00:00,-0.789,96.517
2020-01-12 02:00:00,-1.299,97.702
2020-01-12 03:00:00,-1.641,97.179
2020-01-12 04:00:00,-2.218,97.958
2020-01-12 05:00:00,-1.9,98.308
2020-01-12 06:00:00,-2.305,98.074
2020-01-12 07:00:00,-2.683,98.199
2020-01-12 08:00:00,-1.527,99.703
2020-01-12 09:00:00,0.55,96.604
2020-01-12 10:00:00,3.009,85
2020-01-12 11:00:00,6.331,71.857
2020-01-12 12:00:00,7.116,70.593
2020-01-12 13:00:00,6.914,73.934
2020-01-12 14:00:00,7.419,73.706
2020-01-12 15:00:00,7.745,71.831
2020-01-12 16:00:00,6.484,77.39
2020-01-12 17:00:00,4.921,83.454
2020-01-12 18:00:00,3.985,87.317
2020-01-12 19:00:00,2.155,91.766
2020-01-12 20:00:00,1.561,92.599
2020-01-12 21:00:00,0.163,94.859
2020-01-12 22:00:00,-0.004,96.976
2020-01-12 23:00:00,0.024,97.889
2020-01-13 00:00:00,-0.283,98.323
2020-01-13 01:00:00,-1.015,98.491
2020-01-13 02:00:00,-1.071,98.946
2020-01-13 03:00:00,-1.413,98.988
2020-01-13 04:00:00,-1.384,99.23
2020-01-13 05:00:00,-1.071,99.555
2020-01-13 06:00:00,-1.958,99.531
2020-01-13 07:00:00,-2.102,99.535
2020-01-13 08:00:00,-2.015,99.7
2020-01-13 09:00:00,-1.929,99.726
2020-01-13 10:00:00,-1.871,99.742
2020-01-13 11:00:00,-1.384,99.978
2020-01-13 12:00:00,-1.043,100
2020-01-13 13:00:00,-0.395,100
2020-01-13 14:00:00,0.19,100
2020-01-13 15:00:00,0.687,98.98
2020-01-13 16:00:00,0.55,97.967
2020-01-13 17:00:00,0.246,97.189
2020-01-13 18:00:00,-0.116,98.134
2020-01-13 19:00:00,0.163,99.585
2020-01-13 20:00:00,-0.171,99.77
2020-01-13 21:00:00,-0.032,99.999
2020-01-13 22:00:00,-0.227,100
2020-01-13 23:00:00,-0.283,100
2020-01-14 00:00:00,-0.676,100
2020-01-14 01:00:00,-0.789,100
2020-01-14 02:00:00,-0.958,100
2020-01-14 03:00:00,-1.47,100
2020-01-14 04:00:00,-1.986,100
2020-01-14 05:00:00,-2.218,100
2020-01-14 06:00:00,-2.276,100
2020-01-14 07:00:00,-2.276,99.996
2020-01-14 08:00:00,-2.392,99.915
2020-01-14 09:00:00,-2.305,99.987
2020-01-14 10:00:00,-2.044,100
2020-01-14 11:00:00,-1.384,100
2020-01-14 12:00:00,-0.676,100
2020-01-14 13:00:00,0.218,100
2020-01-14 14:00:00,1.697,100
2020-01-14 15:00:00,3.775,90.789
2020-01-14 16:00:00,2.93,92.317
2020-01-14 17:00:00,2.074,95.358
2020-01-14 18:00:00,1.507,97.064
2020-01-14 19:00:00,0.88,98.798
2020-01-14 20:00:00,0.605,99.477
2020-01-14 21:00:00,0.384,99.979
2020-01-14 22:00:00,-0.032,100
2020-01-14 23:00:00,-0.423,100
2020-01-15 00:00:00,-0.789,100
2020-01-15 01:00:00,-1.015,100
2020-01-15 02:00:00,-1.242,100
2020-01-15 03:00:00,-1.157,100
2020-01-15 04:00:00,-1.756,100
2020-01-15 05:00:00,-1.641,100
2020-01-15 06:00:00,-2.102,100
2020-01-15 07:00:00,-2.189,100
2020-01-15 08:00:00,-1.871,100
2020-01-15 09:00:00,-1.699,100
2020-01-15 10:00:00,-0.06,100
2020-01-15 11:00:00,1.398,100
2020-01-15 12:00:00,1.967,94.475
2020-01-15 13:00:00,3.801,87.349
2020-01-15 14:00:00,6.585,78.708
2020-01-15 15:00:00,8.195,73.005
2020-01-15 16:00:00,7.293,79.267
2020-01-15 17:00:00,6.687,81.087
2020-01-15 18:00:00,6.281,81.447
2020-01-15 19:00:00,5.36,85.356
2020-01-15 20:00:00,5.719,84.974
2020-01-15 21:00:00,4.454,89.295
2020-01-15 22:00:00,4.194,90.14
2020-01-15 23:00:00,2.85,91.625
2020-01-16 00:00:00,2.877,92.279
2020-01-16 01:00:00,2.289,93.285
2020-01-16 02:00:00,1.913,94.411
2020-01-16 03:00:00,1.588,95.201
2020-01-16 04:00:00,1.588,95.395
2020-01-16 05:00:00,0.907,96.511
2020-01-16 06:00:00,0.797,96.625
2020-01-16 07:00:00,0.329,96.806
2020-01-16 08:00:00,0.356,96.646
2020-01-16 09:00:00,2.584,92.524
2020-01-16 10:00:00,5.796,83.789
2020-01-16 11:00:00,7.87,75.97
2020-01-16 12:00:00,9.558,71.545
2020-01-16 13:00:00,11.175,68.657
2020-01-16 14:00:00,12.292,66.159
2020-01-16 15:00:00,12.292,67.084
