"date","Temp","Hum"
2020-01-01 00:00:00,2.396,91.904
2020-01-01 01:00:00,1.94,93.733
2020-01-01 02:00:00,1.697,94.743
2020-01-01 03:00:00,1.588,95.637
2020-01-01 04:00:00,1.507,96.172
2020-01-01 05:00:00,1.289,96.473
2020-01-01 06:00:00,1.262,96.562
2020-01-01 07:00:00,1.235,97.156
2020-01-01 08:00:00,1.425,97.281
2020-01-01 09:00:00,1.425,97.041
2020-01-01 10:00:00,1.371,97.338
2020-01-01 11:00:00,1.425,96.897
2020-01-01 12:00:00,1.805,96.375
2020-01-01 13:00:00,2.047,95.009
2020-01-01 14:00:00,2.262,94.261
2020-01-01 15:00:00,2.396,92.524
2020-01-01 16:00:00,2.396,92.028
2020-01-01 17:00:00,2.343,92.856
2020-01-01 18:00:00,2.074,93.72
2020-01-01 19:00:00,1.805,95.016
2020-01-01 20:00:00,1.751,95.172
2020-01-01 21:00:00,1.805,95.43
2020-01-01 22:00:00,1.751,95.682
2020-01-01 23:00:00,1.697,95.522
2020-01-02 00:00:00,1.453,96.084
2020-01-02 01:00:00,1.398,96.407
2020-01-02 02:00:00,1.099,97.046
2020-01-02 03:00:00,0.934,97.67
2020-01-02 04:00:00,0.715,98.18
2020-01-02 05:00:00,0.715,98.276
2020-01-02 06:00:00,0.715,98.656
2020-01-02 07:00:00,0.495,98.545
2020-01-02 08:00:00,0.495,98.83
2020-01-02 09:00:00,0.55,98.727
2020-01-02 10:00:00,1.208,98.559
2020-01-02 11:00:00,1.453,96.712
2020-01-02 12:00:00,1.453,95.915
2020-01-02 13:00:00,1.697,95.57
2020-01-02 14:00:00,1.778,94.863
2020-01-02 15:00:00,1.832,94.047
2020-01-02 16:00:00,2.074,93.376
2020-01-02 17:00:00,2.128,93.095
2020-01-02 18:00:00,2.182,92.862
2020-01-02 19:00:00,2.021,93.14
2020-01-02 20:00:00,1.805,93.746
2020-01-02 21:00:00,1.751,94.465
2020-01-02 22:00:00,2.021,93.361
2020-01-02 23:00:00,2.047,92.308
2020-01-03 00:00:00,1.778,92.311
2020-01-03 01:00:00,1.697,93.324
2020-01-03 02:00:00,1.371,94.216
2020-01-03 03:00:00,1.425,94.572
2020-01-03 04:00:00,1.561,94.706
2020-01-03 05:00:00,1.371,95.384
2020-01-03 06:00:00,1.126,96.476
2020-01-03 07:00:00,0.77,95.364
2020-01-03 08:00:00,0.605,95.512
2020-01-03 09:00:00,0.577,94.827
2020-01-03 10:00:00,1.262,93.967
2020-01-03 11:00:00,1.805,92.664
2020-01-03 12:00:00,2.664,91.85
2020-01-03 13:00:00,3.38,89.302
2020-01-03 14:00:00,4.947,85.154
2020-01-03 15:00:00,6.306,81.639
2020-01-03 16:00:00,6.357,80.799
2020-01-03 17:00:00,6.128,83.499
2020-01-03 18:00:00,5.745,85.318
2020-01-03 19:00:00,5.642,88.496
2020-01-03 20:00:00,5.024,87.445
2020-01-03 21:00:00,4.089,93.766
2020-01-03 22:00:00,4.869,90.995
2020-01-03 23:00:00,2.797,92.133
2020-01-04 00:00:00,2.53,93.251
2020-01-04 01:00:00,1.67,94.492
2020-01-04 02:00:00,1.453,95.261
2020-01-04 03:00:00,1.398,95.488
2020-01-04 04:00:00,0.495,95.095
