"date","Temp","Hum"
2020-01-01 00:00:00,2.503,90.261
2020-01-01 01:00:00,2.236,91.887
2020-01-01 02:00:00,2.047,92.382
2020-01-01 03:00:00,1.643,93.579
2020-01-01 04:00:00,1.643,93.849
2020-01-01 05:00:00,1.425,94.621
2020-01-01 06:00:00,1.425,94.986
2020-01-01 07:00:00,1.344,95.619
2020-01-01 08:00:00,1.453,95.649
2020-01-01 09:00:00,1.425,95.35
2020-01-01 10:00:00,1.615,95.499
2020-01-01 11:00:00,1.886,93.939
2020-01-01 12:00:00,2.074,92.389
2020-01-01 13:00:00,2.236,91.862
2020-01-01 14:00:00,2.584,89.981
2020-01-01 15:00:00,2.77,89.626
2020-01-01 16:00:00,2.77,90.43
2020-01-01 17:00:00,2.557,90.475
2020-01-01 18:00:00,2.343,91.418
2020-01-01 19:00:00,2.289,91.851
2020-01-01 20:00:00,2.155,92.608
2020-01-01 21:00:00,2.128,93.095
2020-01-01 22:00:00,2.128,93.218
2020-01-01 23:00:00,2.074,93.13
2020-01-02 00:00:00,1.994,93.796
2020-01-02 01:00:00,1.805,93.746
2020-01-02 02:00:00,1.534,94.406
2020-01-02 03:00:00,1.208,95.363
2020-01-02 04:00:00,1.126,95.413
2020-01-02 05:00:00,0.934,95.167
2020-01-02 06:00:00,0.852,95.144
2020-01-02 07:00:00,0.825,95.234
2020-01-02 08:00:00,0.66,94.849
2020-01-02 09:00:00,0.907,94.771
2020-01-02 10:00:00,0.825,94.894
2020-01-02 11:00:00,0.88,95.588
2020-01-02 12:00:00,1.153,94.96
2020-01-02 13:00:00,1.317,95.563
2020-01-02 14:00:00,1.588,94.714
2020-01-02 15:00:00,1.697,94.841
2020-01-02 16:00:00,1.48,94.44
2020-01-02 17:00:00,1.507,93.518
2020-01-02 18:00:00,1.561,92.968
2020-01-02 19:00:00,1.643,92.522
2020-01-02 20:00:00,1.507,91.72
2020-01-02 21:00:00,1.643,92.028
2020-01-02 22:00:00,1.534,92.739
2020-01-02 23:00:00,1.425,93.006
2020-01-03 00:00:00,1.18,93.651
2020-01-03 01:00:00,1.126,94.466
2020-01-03 02:00:00,1.18,94.846
2020-01-03 03:00:00,1.289,94.681
2020-01-03 04:00:00,1.67,93.856
2020-01-03 05:00:00,1.643,93.506
2020-01-03 06:00:00,1.208,93.805
2020-01-03 07:00:00,1.126,93.122
2020-01-03 08:00:00,0.742,92.48
2020-01-03 09:00:00,1.208,91.913
2020-01-03 10:00:00,1.534,91.232
2020-01-03 11:00:00,2.797,86.871
2020-01-03 12:00:00,3.722,84.654
2020-01-03 13:00:00,4.35,84.596
2020-01-03 14:00:00,5.385,81.112
2020-01-03 15:00:00,6.712,77.06
2020-01-03 16:00:00,6.712,77.926
2020-01-03 17:00:00,5.462,83.711
2020-01-03 18:00:00,4.402,88.162
2020-01-03 19:00:00,3.327,90.999
