"date","Temp","Hum"
2020-01-01 00:00:00,2.021,86.97
2020-01-01 01:00:00,1.643,87.954
2020-01-01 02:00:00,1.235,89.04
2020-01-01 03:00:00,0.934,89.988
2020-01-01 04:00:00,0.989,90.355
2020-01-01 05:00:00,0.77,90.668
2020-01-01 06:00:00,0.687,91.2
2020-01-01 07:00:00,0.66,91.336
2020-01-01 08:00:00,0.715,91.513
2020-01-01 09:00:00,0.687,91.282
2020-01-01 10:00:00,0.88,91.149
2020-01-01 11:00:00,1.071,90.003
2020-01-01 12:00:00,1.425,89.153
2020-01-01 13:00:00,1.724,87.609
2020-01-01 14:00:00,2.209,87.039
2020-01-01 15:00:00,2.343,86.526
2020-01-01 16:00:00,2.396,86.452
2020-01-01 17:00:00,1.913,87.722
2020-01-01 18:00:00,1.534,88.354
2020-01-01 19:00:00,1.507,88.984
2020-01-01 20:00:00,1.588,89.216
2020-01-01 21:00:00,1.561,89.209
2020-01-01 22:00:00,1.561,89.399
2020-01-01 23:00:00,1.534,89.16
2020-01-02 00:00:00,1.317,89.482
2020-01-02 01:00:00,1.044,90.037
2020-01-02 02:00:00,0.88,90.471
2020-01-02 03:00:00,0.66,90.783
2020-01-02 04:00:00,0.412,90.696
2020-01-02 05:00:00,0.19,91.005
2020-01-02 06:00:00,0.19,91.087
2020-01-02 07:00:00,0.107,91.166
2020-01-02 08:00:00,-0.143,90.711
2020-01-02 09:00:00,0.135,91.011
2020-01-02 10:00:00,0.107,91.146
2020-01-02 11:00:00,0.051,91.436
2020-01-02 12:00:00,0.522,91.176
2020-01-02 13:00:00,0.77,91.487
2020-01-02 14:00:00,1.044,91.235
2020-01-02 15:00:00,1.126,90.928
2020-01-02 16:00:00,0.989,90.5
2020-01-02 17:00:00,0.88,89.911
2020-01-02 18:00:00,0.962,89.347
2020-01-02 19:00:00,0.962,88.969
2020-01-02 20:00:00,0.934,88.793
2020-01-02 21:00:00,0.989,89.522
2020-01-02 22:00:00,0.989,89.354
2020-01-02 23:00:00,0.852,89.528
2020-01-03 00:00:00,0.55,89.72
2020-01-03 01:00:00,0.522,90.148
2020-01-03 02:00:00,0.577,90.535
2020-01-03 03:00:00,0.825,90.229
2020-01-03 04:00:00,1.044,89.996
2020-01-03 05:00:00,0.934,90.216
2020-01-03 06:00:00,0.522,90.396
2020-01-03 07:00:00,0.329,89.828
2020-01-03 08:00:00,0.107,89.873
2020-01-03 09:00:00,0.273,89.376
2020-01-03 10:00:00,0.797,88.334
2020-01-03 11:00:00,1.94,85.678
2020-01-03 12:00:00,3.301,82.693
2020-01-03 13:00:00,4.141,81.027
2020-01-03 14:00:00,5.462,77.232
2020-01-03 15:00:00,6.153,75.917
2020-01-03 16:00:00,6.458,76.976
2020-01-03 17:00:00,6.255,80.319
2020-01-03 18:00:00,6.56,83.04
2020-01-03 19:00:00,7.945,82.372
2020-01-03 20:00:00,8.045,81.944
2020-01-03 21:00:00,7.645,83.924
2020-01-03 22:00:00,7.87,83.744
2020-01-03 23:00:00,7.519,84.914
2020-01-04 00:00:00,4.973,79.72
2020-01-04 01:00:00,6.687,87.343
2020-01-04 02:00:00,6.864,85.718
2020-01-04 03:00:00,6.864,85.536
2020-01-04 04:00:00,1.859,86.798
2020-01-04 05:00:00,5.565,90.123
2020-01-04 06:00:00,5.796,86.024
2020-01-04 07:00:00,3.564,92.18
2020-01-04 08:00:00,1.967,83.223
2020-01-04 09:00:00,1.262,86.278
2020-01-04 10:00:00,2.289,87.233
2020-01-04 11:00:00,4.714,85.377
2020-01-04 12:00:00,9.188,80.784
2020-01-04 13:00:00,13.449,66.952
2020-01-04 14:00:00,14.05,63.54
2020-01-04 15:00:00,14.002,61.263
2020-01-04 16:00:00,12.775,64.906
2020-01-04 17:00:00,11.005,68.755
2020-01-04 18:00:00,10.051,71.781
2020-01-04 19:00:00,9.262,74.485
2020-01-04 20:00:00,8.593,74.63
2020-01-04 21:00:00,8.22,77.278
2020-01-04 22:00:00,7.92,77.064
2020-01-04 23:00:00,7.569,78.105
2020-01-05 00:00:00,7.419,77.281
2020-01-05 01:00:00,7.192,79.125
2020-01-05 02:00:00,6.914,78.16
2020-01-05 03:00:00,6.687,77.618
2020-01-05 04:00:00,6.611,78.412
2020-01-05 05:00:00,6.255,78.139
2020-01-05 06:00:00,6.306,76.869
2020-01-05 07:00:00,5.872,77.884
2020-01-05 08:00:00,3.089,84.171
2020-01-05 09:00:00,4.766,79.626
2020-01-05 10:00:00,5.411,78.369
2020-01-05 11:00:00,8.344,71.631
2020-01-05 12:00:00,10.712,61.643
2020-01-05 13:00:00,12.437,52.447
2020-01-05 14:00:00,13.281,50.107
2020-01-05 15:00:00,14.505,47.894
2020-01-05 16:00:00,13.93,50.038
2020-01-05 17:00:00,11.005,58.84
2020-01-05 18:00:00,9.114,71.335
2020-01-05 19:00:00,6.788,78.744
2020-01-05 20:00:00,4.454,85.628
2020-01-05 21:00:00,3.459,90
2020-01-05 22:00:00,3.195,90.898
2020-01-05 23:00:00,3.433,91.69
2020-01-06 00:00:00,2.85,92.254
2020-01-06 01:00:00,2.584,92.508
2020-01-06 02:00:00,2.53,92.941
2020-01-06 03:00:00,2.53,93.143
2020-01-06 04:00:00,2.823,93.465
2020-01-06 05:00:00,2.584,93.299
2020-01-06 06:00:00,2.182,93.128
2020-01-06 07:00:00,2.209,93.256
2020-01-06 08:00:00,2.209,93.135
2020-01-06 09:00:00,1.94,92.597
2020-01-06 10:00:00,2.289,92.591
2020-01-06 11:00:00,2.45,92.146
2020-01-06 12:00:00,2.45,91.241
2020-01-06 13:00:00,2.717,91.229
2020-01-06 14:00:00,2.983,89.111
2020-01-06 15:00:00,3.301,88.205
2020-01-06 16:00:00,2.983,88.554
2020-01-06 17:00:00,2.717,89.764
2020-01-06 18:00:00,2.584,90.944
2020-01-06 19:00:00,2.664,91.339
2020-01-06 20:00:00,2.744,91.691
2020-01-06 21:00:00,2.664,91.09
2020-01-06 22:00:00,2.236,90.852
2020-01-06 23:00:00,1.886,90.925
2020-01-07 00:00:00,1.859,91.207
2020-01-07 01:00:00,1.913,91.345
2020-01-07 02:00:00,1.967,91.441
2020-01-07 03:00:00,1.805,91.849
2020-01-07 04:00:00,1.153,91.264
2020-01-07 05:00:00,0.989,91.669
2020-01-07 06:00:00,1.071,92.178
2020-01-07 07:00:00,0.989,92.478
2020-01-07 08:00:00,1.153,92.724
2020-01-07 09:00:00,1.289,91.791
2020-01-07 10:00:00,1.643,91.641
2020-01-07 11:00:00,2.717,89.552
2020-01-07 12:00:00,3.722,85.985
2020-01-07 13:00:00,5.616,80.462
2020-01-07 14:00:00,7.469,74.553
2020-01-07 15:00:00,8.17,71.571
2020-01-07 16:00:00,7.87,72.346
2020-01-07 17:00:00,5.539,82.123
2020-01-07 18:00:00,4.35,86.14
2020-01-07 19:00:00,3.327,89.413
2020-01-07 20:00:00,2.823,91.423
2020-01-07 21:00:00,2.45,91.879
2020-01-07 22:00:00,2.074,92.289
2020-01-07 23:00:00,1.913,92.65
