"date","Temp","Hum"
2020-01-01 00:00:00,1.778,93.247
2020-01-01 01:00:00,1.398,94.808
2020-01-01 02:00:00,1.044,95.681
2020-01-01 03:00:00,1.071,96.605
2020-01-01 04:00:00,0.88,97.032
2020-01-01 05:00:00,0.715,97.608
2020-01-01 06:00:00,0.632,98.252
2020-01-01 07:00:00,0.715,98.466
2020-01-01 08:00:00,0.742,98.616
2020-01-01 09:00:00,0.77,98.719
2020-01-01 10:00:00,0.687,98.696
2020-01-01 11:00:00,1.071,98.019
2020-01-01 12:00:00,1.371,96.255
2020-01-01 13:00:00,1.67,95.514
2020-01-01 14:00:00,2.021,94.245
2020-01-01 15:00:00,2.047,94.497
2020-01-01 16:00:00,1.886,94.453
2020-01-01 17:00:00,1.561,94.926
2020-01-01 18:00:00,1.235,95.54
2020-01-01 19:00:00,1.317,95.95
2020-01-01 20:00:00,1.208,96.161
2020-01-01 21:00:00,1.289,96.16
2020-01-01 22:00:00,1.289,96.329
2020-01-01 23:00:00,1.126,96.909
2020-01-02 00:00:00,0.88,97.32
2020-01-02 01:00:00,0.632,97.871
2020-01-02 02:00:00,0.632,98.109
2020-01-02 03:00:00,0.163,98.687
2020-01-02 04:00:00,0.107,99.097
2020-01-02 05:00:00,-0.004,99.159
2020-01-02 06:00:00,-0.004,99.254
2020-01-02 07:00:00,-0.199,99.339
2020-01-02 08:00:00,-0.143,99.261
2020-01-02 09:00:00,-0.116,99.174
2020-01-02 10:00:00,0.384,98.276
2020-01-02 11:00:00,0.55,98.181
2020-01-02 12:00:00,0.715,96.842
2020-01-02 13:00:00,1.317,95.708
2020-01-02 14:00:00,1.643,94.996
2020-01-02 15:00:00,1.561,94.901
2020-01-02 16:00:00,1.425,94.913
2020-01-02 17:00:00,1.208,95.412
2020-01-02 18:00:00,1.126,95.341
2020-01-02 19:00:00,1.289,94.632
2020-01-02 20:00:00,1.48,94.733
2020-01-02 21:00:00,1.317,95.175
2020-01-02 22:00:00,1.126,95.365
2020-01-02 23:00:00,1.044,95.197
2020-01-03 00:00:00,1.126,94.637
2020-01-03 01:00:00,1.153,94.79
2020-01-03 02:00:00,0.989,95.158
2020-01-03 03:00:00,1.153,95.905
2020-01-03 04:00:00,1.044,96.212
2020-01-03 05:00:00,0.632,96.507
2020-01-03 06:00:00,0.55,97.466
2020-01-03 07:00:00,-0.06,96.721
2020-01-03 08:00:00,0.051,97.015
2020-01-03 09:00:00,0.329,96.398
2020-01-03 10:00:00,0.907,94.965
2020-01-03 11:00:00,2.182,91.773
2020-01-03 12:00:00,2.823,90.469
2020-01-03 13:00:00,3.643,88.38
2020-01-03 14:00:00,5.565,81.946
2020-01-03 15:00:00,6.051,80.464
2020-01-03 16:00:00,5.949,84.297
2020-01-03 17:00:00,5.462,86.47
2020-01-03 18:00:00,7.72,86.34
2020-01-03 19:00:00,7.87,86.35
2020-01-03 20:00:00,7.695,87.116
2020-01-03 21:00:00,7.845,87.62
2020-01-03 22:00:00,7.82,87.848
2020-01-03 23:00:00,7.519,90.017
2020-01-04 00:00:00,7.419,90.043
2020-01-04 01:00:00,6.864,91.331
2020-01-04 02:00:00,6.585,91.386
2020-01-04 03:00:00,6.458,91.328
2020-01-04 04:00:00,6.179,91.964
2020-01-04 05:00:00,6.306,92.351
2020-01-04 06:00:00,6.255,92.388
2020-01-04 07:00:00,6.051,92.083
2020-01-04 08:00:00,6.763,89.057
2020-01-04 09:00:00,6.535,85.011
2020-01-04 10:00:00,7.167,82.472
2020-01-04 11:00:00,9.608,77.842
2020-01-04 12:00:00,12.847,69.485
2020-01-04 13:00:00,13.449,66.309
2020-01-04 14:00:00,13.449,62.537
2020-01-04 15:00:00,13.257,63.913
2020-01-04 16:00:00,11.71,68.842
2020-01-04 17:00:00,10.345,72.429
2020-01-04 18:00:00,9.435,76.6
2020-01-04 19:00:00,8.668,79.054
2020-01-04 20:00:00,8.02,79.723
2020-01-04 21:00:00,7.569,82.219
2020-01-04 22:00:00,7.268,83.025
2020-01-04 23:00:00,7.015,83.337
2020-01-05 00:00:00,6.813,82.841
2020-01-05 01:00:00,6.484,84.685
2020-01-05 02:00:00,6.077,84.536
2020-01-05 03:00:00,5.796,83.789
2020-01-05 04:00:00,6.102,83.388
2020-01-05 05:00:00,5.693,82.293
2020-01-05 06:00:00,4.22,86.939
2020-01-05 07:00:00,3.932,84.237
2020-01-05 08:00:00,3.67,89.502
2020-01-05 09:00:00,6.102,80.689
2020-01-05 10:00:00,7.67,73.508
2020-01-05 11:00:00,9.657,66.805
2020-01-05 12:00:00,11.2,57.047
2020-01-05 13:00:00,12.34,50.444
2020-01-05 14:00:00,13.473,47.915
2020-01-05 15:00:00,13.93,48.78
2020-01-05 16:00:00,12.074,56.434
2020-01-05 17:00:00,9.854,64.917
2020-01-05 18:00:00,8.494,76.402
2020-01-05 19:00:00,6.611,82.979
2020-01-05 20:00:00,5.024,90.15
2020-01-05 21:00:00,4.011,93.695
2020-01-05 22:00:00,3.617,96.342
2020-01-05 23:00:00,3.617,97.121
2020-01-06 00:00:00,3.195,98.02
2020-01-06 01:00:00,3.142,98.583
2020-01-06 02:00:00,3.009,99.121
2020-01-06 03:00:00,2.983,99.305
2020-01-06 04:00:00,3.142,99.446
2020-01-06 05:00:00,2.477,99.446
2020-01-06 06:00:00,2.343,99.789
2020-01-06 07:00:00,2.021,99.744
2020-01-06 08:00:00,2.182,99.98
2020-01-06 09:00:00,2.236,99.924
2020-01-06 10:00:00,2.236,100
2020-01-06 11:00:00,2.37,100
2020-01-06 12:00:00,2.316,99.805
2020-01-06 13:00:00,2.477,98.969
2020-01-06 14:00:00,2.93,96.784
2020-01-06 15:00:00,3.063,95.457
2020-01-06 16:00:00,2.664,96.225
2020-01-06 17:00:00,2.557,97.116
2020-01-06 18:00:00,2.53,98.145
2020-01-06 19:00:00,2.45,98.866
2020-01-06 20:00:00,2.503,98.881
2020-01-06 21:00:00,2.182,98.932
2020-01-06 22:00:00,1.859,99.245
2020-01-06 23:00:00,1.751,99.286
2020-01-07 00:00:00,1.805,99.206
2020-01-07 01:00:00,1.913,99.332
2020-01-07 02:00:00,1.778,99.436
2020-01-07 03:00:00,1.832,99.475
2020-01-07 04:00:00,1.643,100
2020-01-07 05:00:00,1.697,100
2020-01-07 06:00:00,1.371,100
2020-01-07 07:00:00,1.262,100
2020-01-07 08:00:00,1.48,100
2020-01-07 09:00:00,1.262,100
2020-01-07 10:00:00,1.643,100
2020-01-07 11:00:00,2.047,100
2020-01-07 12:00:00,2.877,99.322
2020-01-07 13:00:00,4.532,94.082
2020-01-07 14:00:00,5.898,85.641
2020-01-07 15:00:00,7.343,79.035
2020-01-07 16:00:00,5.77,83.206
2020-01-07 17:00:00,4.999,89.559
2020-01-07 18:00:00,4.324,93.232
2020-01-07 19:00:00,4.037,94.765
2020-01-07 20:00:00,3.327,96.214
2020-01-07 21:00:00,2.77,97.562
2020-01-07 22:00:00,2.637,97.959
2020-01-07 23:00:00,2.37,98.531
2020-01-08 00:00:00,2.182,99.028
2020-01-08 01:00:00,2.209,99.417
2020-01-08 02:00:00,2.37,99.654
2020-01-08 03:00:00,2.128,99.87
2020-01-08 04:00:00,2.101,100
2020-01-08 05:00:00,2.155,100
2020-01-08 06:00:00,1.67,100
2020-01-08 07:00:00,1.425,100
2020-01-08 08:00:00,1.967,100
2020-01-08 09:00:00,2.128,100
2020-01-08 10:00:00,2.823,100
2020-01-08 11:00:00,3.354,98.064
2020-01-08 12:00:00,3.643,95.224
2020-01-08 13:00:00,3.67,95.157
2020-01-08 14:00:00,4.115,94.441
2020-01-08 15:00:00,4.089,94.088
2020-01-08 16:00:00,3.854,95.33
2020-01-08 17:00:00,3.67,96.332
2020-01-08 18:00:00,3.327,96.603
2020-01-08 19:00:00,3.142,97.304
2020-01-08 20:00:00,3.406,97.958
2020-01-08 21:00:00,3.301,98.122
2020-01-08 22:00:00,2.983,98.634
2020-01-08 23:00:00,2.61,98.959
2020-01-09 00:00:00,2.209,99.56
2020-01-09 01:00:00,2.101,99.672
2020-01-09 02:00:00,2.155,99.972
2020-01-09 03:00:00,2.101,100
2020-01-09 04:00:00,2.209,100
2020-01-09 05:00:00,2.021,100
2020-01-09 06:00:00,1.643,100
2020-01-09 07:00:00,1.262,100
2020-01-09 08:00:00,1.425,100
2020-01-09 09:00:00,1.778,100
2020-01-09 10:00:00,2.236,100
2020-01-09 11:00:00,2.637,99.349
2020-01-09 12:00:00,3.248,98.565
2020-01-09 13:00:00,2.983,98.104
2020-01-09 14:00:00,3.063,97.524
