"date","Temp","Hum"
2020-01-01 00:00:00,1.805,92.392
2020-01-01 01:00:00,1.534,93.673
2020-01-01 02:00:00,1.126,94.685
2020-01-01 03:00:00,0.989,95.521
2020-01-01 04:00:00,0.77,95.606
2020-01-01 05:00:00,0.605,96.235
2020-01-01 06:00:00,0.577,96.804
2020-01-01 07:00:00,0.605,97.099
2020-01-01 08:00:00,0.605,97.195
2020-01-01 09:00:00,0.632,97.394
2020-01-01 10:00:00,0.687,97.361
2020-01-01 11:00:00,1.071,96.942
2020-01-01 12:00:00,1.507,95.47
2020-01-01 13:00:00,1.534,94.723
2020-01-01 14:00:00,2.021,93.435
2020-01-01 15:00:00,1.859,94.397
2020-01-01 16:00:00,1.805,94.211
2020-01-01 17:00:00,1.588,94.079
2020-01-01 18:00:00,1.289,95.264
2020-01-01 19:00:00,1.153,96.001
2020-01-01 20:00:00,1.126,95.897
2020-01-01 21:00:00,1.099,96.131
2020-01-01 22:00:00,1.071,96.172
2020-01-01 23:00:00,0.989,96.053
2020-01-02 00:00:00,0.825,96.248
2020-01-02 01:00:00,0.687,96.45
2020-01-02 02:00:00,0.439,96.501
2020-01-02 03:00:00,0.273,97.221
2020-01-02 04:00:00,0.079,97.285
2020-01-02 05:00:00,-0.004,97.405
2020-01-02 06:00:00,-0.06,97.437
2020-01-02 07:00:00,-0.06,97.294
2020-01-02 08:00:00,-0.339,97.072
2020-01-02 09:00:00,-0.116,97.564
2020-01-02 10:00:00,0.384,97.324
2020-01-02 11:00:00,0.495,96.804
2020-01-02 12:00:00,0.577,95.504
2020-01-02 13:00:00,1.153,94.911
2020-01-02 14:00:00,1.126,95.462
2020-01-02 15:00:00,1.289,95.119
2020-01-02 16:00:00,1.371,94.898
2020-01-02 17:00:00,1.208,95.096
2020-01-02 18:00:00,1.153,94.741
2020-01-02 19:00:00,1.235,94.374
2020-01-02 20:00:00,1.18,94.286
2020-01-02 21:00:00,1.235,94.812
2020-01-02 22:00:00,0.989,94.648
2020-01-02 23:00:00,0.989,94.405
2020-01-03 00:00:00,0.852,94.708
2020-01-03 01:00:00,0.852,94.659
2020-01-03 02:00:00,0.962,94.592
2020-01-03 03:00:00,1.099,94.969
2020-01-03 04:00:00,0.962,95.174
2020-01-03 05:00:00,0.742,95.695
2020-01-03 06:00:00,0.495,96.3
2020-01-03 07:00:00,-0.06,95.858
2020-01-03 08:00:00,0.051,96.177
2020-01-03 09:00:00,0.218,95.502
2020-01-03 10:00:00,0.825,94.846
2020-01-03 11:00:00,1.913,91.479
2020-01-03 12:00:00,3.195,87.148
2020-01-03 13:00:00,4.037,84.885
2020-01-03 14:00:00,5.565,79.235
2020-01-03 15:00:00,6.026,78.397
2020-01-03 16:00:00,6.051,82.058
2020-01-03 17:00:00,5.77,85.974
2020-01-03 18:00:00,7.945,84.609
2020-01-03 19:00:00,8.22,84.172
2020-01-03 20:00:00,7.87,84.855
2020-01-03 21:00:00,7.92,86.832
2020-01-03 22:00:00,7.544,87.235
2020-01-03 23:00:00,7.192,89.781
2020-01-04 00:00:00,7.242,89.537
2020-01-04 01:00:00,6.179,91.813
2020-01-04 02:00:00,5.77,92.889
2020-01-04 03:00:00,5.77,93.465
2020-01-04 04:00:00,6,91.311
2020-01-04 05:00:00,6,91.007
2020-01-04 06:00:00,5.616,91.415
2020-01-04 07:00:00,5.539,91.723
2020-01-04 08:00:00,6.306,89.634
2020-01-04 09:00:00,7.82,85.919
2020-01-04 10:00:00,10.394,78.694
2020-01-04 11:00:00,11.734,73.463
2020-01-04 12:00:00,13.064,68.406
2020-01-04 13:00:00,13.618,64.005
2020-01-04 14:00:00,13.834,62.572
2020-01-04 15:00:00,13.546,61.816
2020-01-04 16:00:00,11.929,66.729
2020-01-04 17:00:00,10.443,70.704
2020-01-04 18:00:00,9.608,74.456
