"date","Temp","Hum"
2020-01-01 00:00:00,1.886,87.521
2020-01-01 01:00:00,1.425,88.219
2020-01-01 02:00:00,1.208,89.433
2020-01-01 03:00:00,0.715,90.736
2020-01-01 04:00:00,0.825,91.012
2020-01-01 05:00:00,0.439,91.5
2020-01-01 06:00:00,0.329,91.976
2020-01-01 07:00:00,0.329,92.056
2020-01-01 08:00:00,0.467,92.215
2020-01-01 09:00:00,0.439,92.248
2020-01-01 10:00:00,0.495,92.343
2020-01-01 11:00:00,0.852,92.058
2020-01-01 12:00:00,1.18,91.066
2020-01-01 13:00:00,1.344,89.405
2020-01-01 14:00:00,1.859,87.622
2020-01-01 15:00:00,2.047,87.756
2020-01-01 16:00:00,2.128,87.322
2020-01-01 17:00:00,1.588,88.751
2020-01-01 18:00:00,1.289,89.307
2020-01-01 19:00:00,1.344,89.594
2020-01-01 20:00:00,1.561,89.923
2020-01-01 21:00:00,1.643,89.251
2020-01-01 22:00:00,1.48,89.483
2020-01-01 23:00:00,1.453,89.832
2020-01-02 00:00:00,1.371,90.165
2020-01-02 01:00:00,0.825,90.58
2020-01-02 02:00:00,0.577,91.313
2020-01-02 03:00:00,0.439,91.48
2020-01-02 04:00:00,0.329,91.49
2020-01-02 05:00:00,0.024,91.083
2020-01-02 06:00:00,0.218,91.42
2020-01-02 07:00:00,0.163,91.405
2020-01-02 08:00:00,-0.311,91.641
2020-01-02 09:00:00,0.024,91.388
2020-01-02 10:00:00,0.163,91.161
2020-01-02 11:00:00,0.163,91.242
2020-01-02 12:00:00,0.605,90.542
2020-01-02 13:00:00,0.715,90.941
2020-01-02 14:00:00,1.044,91.194
2020-01-02 15:00:00,1.099,91.024
2020-01-02 16:00:00,1.071,90.501
2020-01-02 17:00:00,0.962,89.389
2020-01-02 18:00:00,1.153,88.638
2020-01-02 19:00:00,0.934,87.944
2020-01-02 20:00:00,1.044,88.313
2020-01-02 21:00:00,1.18,88.348
2020-01-02 22:00:00,1.044,88.44
2020-01-02 23:00:00,0.962,88.948
2020-01-03 00:00:00,0.55,89.323
2020-01-03 01:00:00,0.384,89.946
2020-01-03 02:00:00,0.384,90.607
2020-01-03 03:00:00,0.632,90.426
2020-01-03 04:00:00,0.934,90.588
2020-01-03 05:00:00,0.715,90.654
2020-01-03 06:00:00,0.163,90.752
2020-01-03 07:00:00,0.218,91.379
2020-01-03 08:00:00,-0.283,90.817
2020-01-03 09:00:00,0.024,90.428
2020-01-03 10:00:00,0.605,89.17
2020-01-03 11:00:00,1.588,86.425
2020-01-03 12:00:00,3.221,82.467
2020-01-03 13:00:00,3.538,82.818
2020-01-03 14:00:00,4.61,80.282
2020-01-03 15:00:00,5.668,77.054
2020-01-03 16:00:00,5.949,78.997
2020-01-03 17:00:00,4.454,84.635
2020-01-03 18:00:00,3.512,86.553
2020-01-03 19:00:00,8.02,82.009
2020-01-03 20:00:00,8.12,81.555
2020-01-03 21:00:00,5.076,89.48
2020-01-03 22:00:00,7.995,83.116
2020-01-03 23:00:00,7.619,84.337
2020-01-04 00:00:00,3.591,80.901
2020-01-04 01:00:00,6.839,87.291
2020-01-04 02:00:00,6.281,87.398
2020-01-04 03:00:00,6.102,87.93
2020-01-04 04:00:00,0.907,92.295
2020-01-04 05:00:00,4.895,93.751
2020-01-04 06:00:00,6.433,87.012
2020-01-04 07:00:00,1.344,93.337
2020-01-04 08:00:00,1.099,80.679
2020-01-04 09:00:00,-1.015,90.783
2020-01-04 10:00:00,0.467,92.476
2020-01-04 11:00:00,2.956,93.341
2020-01-04 12:00:00,9.805,86.616
2020-01-04 13:00:00,12.485,69.383
2020-01-04 14:00:00,12.92,66.829
2020-01-04 15:00:00,12.775,64.569
2020-01-04 16:00:00,12.05,67.033
2020-01-04 17:00:00,10.687,69.775
2020-01-04 18:00:00,9.805,72.153
2020-01-04 19:00:00,9.089,75.166
2020-01-04 20:00:00,8.469,74.86
2020-01-04 21:00:00,7.97,77.821
2020-01-04 22:00:00,7.845,77.273
2020-01-04 23:00:00,7.544,77.927
2020-01-05 00:00:00,7.318,77.334
2020-01-05 01:00:00,7.167,78.411
2020-01-05 02:00:00,6.813,78.089
2020-01-05 03:00:00,6.661,77.785
2020-01-05 04:00:00,6.661,77.81
2020-01-05 05:00:00,6.306,77.831
2020-01-05 06:00:00,6.535,75.972
2020-01-05 07:00:00,4.115,81.091
2020-01-05 08:00:00,1.913,86.419
2020-01-05 09:00:00,2.584,88.302
2020-01-05 10:00:00,4.089,84.909
2020-01-05 11:00:00,6.661,78.105
2020-01-05 12:00:00,9.089,70.458
2020-01-05 13:00:00,11.224,55.937
2020-01-05 14:00:00,11.807,52.966
2020-01-05 15:00:00,11.662,53.79
2020-01-05 16:00:00,10.638,60.888
2020-01-05 17:00:00,6.737,75.086
2020-01-05 18:00:00,4.973,80.626
2020-01-05 19:00:00,4.454,85.178
2020-01-05 20:00:00,3.749,87.053
2020-01-05 21:00:00,2.93,90.283
2020-01-05 22:00:00,2.823,91.382
2020-01-05 23:00:00,3.116,92.182
2020-01-06 00:00:00,2.61,92.475
2020-01-06 01:00:00,2.503,92.649
