"date","Temp","Hum"
2020-01-01 00:00:00,2.4,89.73
2020-01-01 01:00:00,2.18,90.55
2020-01-01 02:00:00,2.06,91.32
2020-01-01 03:00:00,1.71,92.39
2020-01-01 04:00:00,1.5,93.15
2020-01-01 05:00:00,1.33,93.83
2020-01-01 06:00:00,1.2,93.42
2020-01-01 07:00:00,1.28,93.86
2020-01-01 08:00:00,1.2,94.18
2020-01-01 09:00:00,1.46,93.86
2020-01-01 10:00:00,1.54,93.94
2020-01-01 11:00:00,1.67,93.2
2020-01-01 12:00:00,2.01,92.06
2020-01-01 13:00:00,2.23,91.29
2020-01-01 14:00:00,2.4,90.61
2020-01-01 15:00:00,2.27,90.53
2020-01-01 16:00:00,2.44,88.93
2020-01-01 17:00:00,2.44,89.42
2020-01-01 18:00:00,2.14,89.75
2020-01-01 19:00:00,2.06,90.94
2020-01-01 20:00:00,2.06,90.88
2020-01-01 21:00:00,2.1,91.27
2020-01-01 22:00:00,1.93,92.03
2020-01-01 23:00:00,1.8,92.01
2020-01-02 00:00:00,1.71,92.42
2020-01-02 01:00:00,1.58,92.8
2020-01-02 02:00:00,1.63,92.36
2020-01-02 03:00:00,1.28,93.1
2020-01-02 04:00:00,0.98,94.18
2020-01-02 05:00:00,0.9,94.56
2020-01-02 06:00:00,0.68,94.51
2020-01-02 07:00:00,0.77,94.53
2020-01-02 08:00:00,0.6,94.86
2020-01-02 09:00:00,0.47,94.8
2020-01-02 10:00:00,0.43,95.58
2020-01-02 11:00:00,0.56,94.86
2020-01-02 12:00:00,0.68,94.88
2020-01-02 13:00:00,1.16,94.18
2020-01-02 14:00:00,1.28,93.5
2020-01-02 15:00:00,1.33,93.5
2020-01-02 16:00:00,1.37,91.95
2020-01-02 17:00:00,1.54,91.98
2020-01-02 18:00:00,1.58,91.6
2020-01-02 19:00:00,1.46,91.1
2020-01-02 20:00:00,1.41,91.1
2020-01-02 21:00:00,1.33,92.28
2020-01-02 22:00:00,1.28,92.28
2020-01-02 23:00:00,1.2,91.84
2020-01-03 00:00:00,1.11,93.4
2020-01-03 01:00:00,1.11,93.37
2020-01-03 02:00:00,0.98,93.42
2020-01-03 03:00:00,0.98,94.18
2020-01-03 04:00:00,1.16,93.83
2020-01-03 05:00:00,1.24,93.48
2020-01-03 06:00:00,0.94,93.34
2020-01-03 07:00:00,0.86,93.75
2020-01-03 08:00:00,0.34,93.59
2020-01-03 09:00:00,0.43,93.26
2020-01-03 10:00:00,0.98,92.22
2020-01-03 11:00:00,1.71,90.86
2020-01-03 12:00:00,3.34,87.23
2020-01-03 13:00:00,4.16,86.09
2020-01-03 14:00:00,4.8,84.68
2020-01-03 15:00:00,6.34,79.56
2020-01-03 16:00:00,6.56,80.79
2020-01-03 17:00:00,5.79,82.3
2020-01-03 18:00:00,4.5,86.28
2020-01-03 19:00:00,3.64,88.81
2020-01-03 20:00:00,2.92,90.36
2020-01-03 21:00:00,2.4,90.99
2020-01-03 22:00:00,1.63,93.15
2020-01-03 23:00:00,1.28,93.45
2020-01-04 00:00:00,0.9,94.51
2020-01-04 01:00:00,0.51,94.86
2020-01-04 02:00:00,-0.13,95.05
2020-01-04 03:00:00,-0.73,94.83
2020-01-04 04:00:00,-0.86,95.96
2020-01-04 05:00:00,-1.42,98.07
2020-01-04 06:00:00,-2.15,97.11
2020-01-04 07:00:00,-1.63,97.7
2020-01-04 08:00:00,-1.59,97.7
2020-01-04 09:00:00,-1.16,97.78
2020-01-04 10:00:00,-0.52,98.39
2020-01-04 11:00:00,1.58,98.95
2020-01-04 12:00:00,4.42,99.03
2020-01-04 13:00:00,7.38,98.68
2020-01-04 14:00:00,13.77,72.6
2020-01-04 15:00:00,13.86,68.11
2020-01-04 16:00:00,12.66,69.63
2020-01-04 17:00:00,11.11,74.28
2020-01-04 18:00:00,9.91,76.84
2020-01-04 19:00:00,9.18,78.35
2020-01-04 20:00:00,7.93,82.33
2020-01-04 21:00:00,6.99,83.92
2020-01-04 22:00:00,7.29,83.89
2020-01-04 23:00:00,6.78,84.74
2020-01-05 00:00:00,6.39,85.07
2020-01-05 01:00:00,5.83,85.78
2020-01-05 02:00:00,5.1,87.95
2020-01-05 03:00:00,4.54,87.82
2020-01-05 04:00:00,3.64,90.14
2020-01-05 05:00:00,3,90.77
2020-01-05 06:00:00,3.04,90.77
2020-01-05 07:00:00,2.7,90.25
2020-01-05 08:00:00,-0.31,94.21
2020-01-05 09:00:00,1.03,93.78
2020-01-05 10:00:00,3.94,88.48
2020-01-05 11:00:00,6.94,81.79
2020-01-05 12:00:00,9.35,74.36
2020-01-05 13:00:00,11.24,67.21
2020-01-05 14:00:00,13.26,57.7
2020-01-05 15:00:00,13.29,56.98
2020-01-05 16:00:00,12.44,59.25
2020-01-05 17:00:00,10.34,66.06
2020-01-05 18:00:00,8.15,75.53
2020-01-05 19:00:00,5.19,86.03
2020-01-05 20:00:00,3.69,92.11
2020-01-05 21:00:00,3.17,95.13
2020-01-05 22:00:00,2.23,93.31
2020-01-05 23:00:00,3.22,95.93
2020-01-06 00:00:00,2.06,95.99
2020-01-06 01:00:00,2.44,96.93
2020-01-06 02:00:00,3.04,96.71
2020-01-06 03:00:00,3,97.03
2020-01-06 04:00:00,2.83,97.03
2020-01-06 05:00:00,2.62,97.35
2020-01-06 06:00:00,1.93,97.17
2020-01-06 07:00:00,1.63,97.43
2020-01-06 08:00:00,1.97,97.57
2020-01-06 09:00:00,2.14,97.57
2020-01-06 10:00:00,2.62,97.75
2020-01-06 11:00:00,2.78,97.35
2020-01-06 12:00:00,2.4,97.25
2020-01-06 13:00:00,2.74,95.37
2020-01-06 14:00:00,2.92,94.32
2020-01-06 15:00:00,3.34,92.85
2020-01-06 16:00:00,3.22,91.95
2020-01-06 17:00:00,2.78,93.07
2020-01-06 18:00:00,2.78,94.24
2020-01-06 19:00:00,2.74,94.67
2020-01-06 20:00:00,2.66,95.42
2020-01-06 21:00:00,2.83,95.05
2020-01-06 22:00:00,2.53,94.56
2020-01-06 23:00:00,2.23,95.26
2020-01-07 00:00:00,2.06,95.21
2020-01-07 01:00:00,1.97,95.23
2020-01-07 02:00:00,1.93,95.96
2020-01-07 03:00:00,1.2,96.2
2020-01-07 04:00:00,1.2,96.93
2020-01-07 05:00:00,1.46,97.81
2020-01-07 06:00:00,1.67,97.81
2020-01-07 07:00:00,1.54,97.01
2020-01-07 08:00:00,1.71,95.91
2020-01-07 09:00:00,1.8,95.58
2020-01-07 10:00:00,2.31,94.13
2020-01-07 11:00:00,2.7,92.25
2020-01-07 12:00:00,3.39,90.44
2020-01-07 13:00:00,5.19,85.1
2020-01-07 14:00:00,6.04,82.47
2020-01-07 15:00:00,6.73,81.36
2020-01-07 16:00:00,6.52,83.41
2020-01-07 17:00:00,4.97,87.93
2020-01-07 18:00:00,3.9,91.79
2020-01-07 19:00:00,3.22,94.4
2020-01-07 20:00:00,2.78,95.07
2020-01-07 21:00:00,2.48,96.55
2020-01-07 22:00:00,2.14,96.85
2020-01-07 23:00:00,1.93,97.54
2020-01-08 00:00:00,1.97,97.91
2020-01-08 01:00:00,1.97,97.94
2020-01-08 02:00:00,1.93,98.29
2020-01-08 03:00:00,1.88,98.31
2020-01-08 04:00:00,1.88,98.31
2020-01-08 05:00:00,1.84,98.26
2020-01-08 06:00:00,1.54,98.21
2020-01-08 07:00:00,1.5,98.58
2020-01-08 08:00:00,1.37,98.87
2020-01-08 09:00:00,1.84,99
2020-01-08 10:00:00,2.23,98.74
2020-01-08 11:00:00,2.57,98.9
2020-01-08 12:00:00,2.7,98.5
2020-01-08 13:00:00,3.3,94.78
2020-01-08 14:00:00,3.47,93.23
2020-01-08 15:00:00,3.64,93.34
2020-01-08 16:00:00,3.77,92.96
2020-01-08 17:00:00,3.52,94.48
2020-01-08 18:00:00,3.34,95.23
2020-01-08 19:00:00,2.96,96.28
2020-01-08 20:00:00,2.83,96.98
2020-01-08 21:00:00,2.66,97.7
2020-01-08 22:00:00,2.66,98.15
2020-01-08 23:00:00,2.48,98.42
2020-01-09 00:00:00,2.1,98.76
2020-01-09 01:00:00,2.23,98.79
2020-01-09 02:00:00,2.06,98.74
2020-01-09 03:00:00,2.01,99.06
2020-01-09 04:00:00,2.18,98.74
2020-01-09 05:00:00,2.1,98.76
2020-01-09 06:00:00,2.1,99.13
2020-01-09 07:00:00,1.88,98.63
2020-01-09 08:00:00,1.67,98.98
2020-01-09 09:00:00,1.97,99.11
2020-01-09 10:00:00,1.93,99.03
2020-01-09 11:00:00,2.14,99.11
2020-01-09 12:00:00,2.23,99.13
2020-01-09 13:00:00,2.53,99.21
2020-01-09 14:00:00,2.78,97.03
2020-01-09 15:00:00,2.62,97.75
2020-01-09 16:00:00,2.53,98.45
2020-01-09 17:00:00,2.66,98.52
2020-01-09 18:00:00,2.87,98.98
2020-01-09 19:00:00,3.04,99.03
2020-01-09 20:00:00,3.34,99.06
