"date","Temp","Hum"
2020-01-01 00:00:00,2.262,93.13
2020-01-01 01:00:00,1.832,94.463
2020-01-01 02:00:00,1.615,95.766
2020-01-01 03:00:00,1.48,96.816
2020-01-01 04:00:00,1.371,97.122
2020-01-01 05:00:00,1.153,97.684
2020-01-01 06:00:00,1.18,97.548
2020-01-01 07:00:00,1.099,97.86
2020-01-01 08:00:00,1.289,98.057
2020-01-01 09:00:00,1.289,97.603
2020-01-01 10:00:00,1.289,97.579
2020-01-01 11:00:00,1.561,97.127
2020-01-01 12:00:00,1.751,96.118
2020-01-01 13:00:00,1.967,94.939
2020-01-01 14:00:00,2.262,93.524
2020-01-01 15:00:00,2.289,92.792
2020-01-01 16:00:00,2.45,92.117
2020-01-01 17:00:00,2.155,93.151
2020-01-01 18:00:00,1.994,94.335
2020-01-01 19:00:00,1.94,94.663
2020-01-01 20:00:00,1.859,95.031
2020-01-01 21:00:00,1.859,95.031
2020-01-01 22:00:00,1.832,95.364
2020-01-01 23:00:00,1.751,95.245
2020-01-02 00:00:00,1.643,95.361
2020-01-02 01:00:00,1.398,96.214
2020-01-02 02:00:00,1.153,97.205
2020-01-02 03:00:00,0.907,98.283
2020-01-02 04:00:00,0.797,97.918
2020-01-02 05:00:00,0.687,98.577
2020-01-02 06:00:00,0.715,98.418
2020-01-02 07:00:00,0.577,98.759
2020-01-02 08:00:00,0.55,98.324
2020-01-02 09:00:00,0.66,98.07
2020-01-02 10:00:00,0.825,97.878
2020-01-02 11:00:00,0.55,98.133
2020-01-02 12:00:00,0.66,98.545
2020-01-02 13:00:00,1.099,98.218
2020-01-02 14:00:00,1.48,95.947
2020-01-02 15:00:00,1.561,95.217
2020-01-02 16:00:00,1.425,95.738
2020-01-02 17:00:00,1.425,95.52
2020-01-02 18:00:00,1.453,95.115
2020-01-02 19:00:00,1.561,94.682
2020-01-02 20:00:00,1.453,93.993
2020-01-02 21:00:00,1.344,94.16
2020-01-02 22:00:00,1.48,94.44
2020-01-02 23:00:00,1.289,94.194
2020-01-03 00:00:00,1.044,95.584
2020-01-03 01:00:00,1.044,96.646
2020-01-03 02:00:00,1.18,96.924
2020-01-03 03:00:00,1.126,95.655
2020-01-03 04:00:00,1.262,95.645
2020-01-03 05:00:00,1.208,96.065
2020-01-03 06:00:00,0.989,97.279
2020-01-03 07:00:00,0.77,95.992
2020-01-03 08:00:00,0.495,96.3
2020-01-03 09:00:00,0.522,94.569
2020-01-03 10:00:00,1.208,94.074
2020-01-03 11:00:00,1.751,92.402
2020-01-03 12:00:00,2.823,90.694
2020-01-03 13:00:00,3.459,88.74
2020-01-03 14:00:00,5.154,83.613
2020-01-03 15:00:00,6.255,81.282
2020-01-03 16:00:00,6.204,80.765
2020-01-03 17:00:00,5.693,84.237
2020-01-03 18:00:00,4.947,86.603
2020-01-03 19:00:00,3.564,90.96
2020-01-03 20:00:00,2.93,93.555
2020-01-03 21:00:00,2.182,94.778
2020-01-03 22:00:00,1.48,95.947
2020-01-03 23:00:00,1.071,96.605
2020-01-04 00:00:00,0.742,97.592
2020-01-04 01:00:00,0.384,97.801
2020-01-04 02:00:00,-0.339,97.928
2020-01-04 03:00:00,-0.76,97.666
2020-01-04 04:00:00,-1.071,98.593
2020-01-04 05:00:00,-1.157,99.437
2020-01-04 06:00:00,-1.413,99.876
2020-01-04 07:00:00,-1.756,99.776
2020-01-04 08:00:00,-1.356,100
2020-01-04 09:00:00,-0.732,100
2020-01-04 10:00:00,0.384,100
2020-01-04 11:00:00,1.967,100
2020-01-04 12:00:00,5.128,100
2020-01-04 13:00:00,12.292,86.165
2020-01-04 14:00:00,13.858,63.459
2020-01-04 15:00:00,13.762,61.586
2020-01-04 16:00:00,12.316,66.626
2020-01-04 17:00:00,10.492,74.664
2020-01-04 18:00:00,9.534,77.498
2020-01-04 19:00:00,8.22,83.059
2020-01-04 20:00:00,7.091,86.657
2020-01-04 21:00:00,6.458,87.695
2020-01-04 22:00:00,5.77,90.492
2020-01-04 23:00:00,5.77,90.034
2020-01-05 00:00:00,5.616,89.945
2020-01-05 01:00:00,5.591,88.227
2020-01-05 02:00:00,4.558,91.945
2020-01-05 03:00:00,3.958,94.226
2020-01-05 04:00:00,3.617,93.318
2020-01-05 05:00:00,3.433,93.615
2020-01-05 06:00:00,3.38,91.238
2020-01-05 07:00:00,0.439,92.449
2020-01-05 08:00:00,0.301,96.415
2020-01-05 09:00:00,2.236,94.841
2020-01-05 10:00:00,4.584,90.038
2020-01-05 11:00:00,6.914,78.914
2020-01-05 12:00:00,9.657,68.174
2020-01-05 13:00:00,11.321,60.887
2020-01-05 14:00:00,12.001,53.834
2020-01-05 15:00:00,12.509,51.415
2020-01-05 16:00:00,11.904,54.967
2020-01-05 17:00:00,9.064,72.427
2020-01-05 18:00:00,6.306,85.869
2020-01-05 19:00:00,4.558,90.233
2020-01-05 20:00:00,2.93,93.061
2020-01-05 21:00:00,2.396,97.891
2020-01-05 22:00:00,2.396,98.898
2020-01-05 23:00:00,2.823,99.689
2020-01-06 00:00:00,2.343,99.694
2020-01-06 01:00:00,2.37,100
2020-01-06 02:00:00,2.717,100
2020-01-06 03:00:00,2.93,100
2020-01-06 04:00:00,2.664,100
2020-01-06 05:00:00,1.697,100
2020-01-06 06:00:00,1.643,100
2020-01-06 07:00:00,1.778,100
2020-01-06 08:00:00,2.074,100
2020-01-06 09:00:00,2.396,100
2020-01-06 10:00:00,2.45,100
2020-01-06 11:00:00,2.182,100
2020-01-06 12:00:00,2.289,100
2020-01-06 13:00:00,2.557,100
2020-01-06 14:00:00,2.823,98.876
2020-01-06 15:00:00,3.036,96.109
2020-01-06 16:00:00,2.93,96.299
2020-01-06 17:00:00,2.93,96.93
2020-01-06 18:00:00,2.983,97.622
2020-01-06 19:00:00,2.85,98.596
2020-01-06 20:00:00,2.823,98.948
2020-01-06 21:00:00,2.45,99.343
2020-01-06 22:00:00,2.236,99.33
2020-01-06 23:00:00,2.021,99.387
2020-01-07 00:00:00,1.832,99.737
2020-01-07 01:00:00,1.778,99.982
2020-01-07 02:00:00,1.643,100
2020-01-07 03:00:00,1.724,100
2020-01-07 04:00:00,1.724,100
2020-01-07 05:00:00,1.588,100
2020-01-07 06:00:00,1.289,100
2020-01-07 07:00:00,1.398,100
2020-01-07 08:00:00,1.425,100
2020-01-07 09:00:00,1.588,99.951
2020-01-07 10:00:00,1.805,98.347
2020-01-07 11:00:00,2.396,96.539
2020-01-07 12:00:00,3.009,94.487
2020-01-07 13:00:00,4.35,90.231
2020-01-07 14:00:00,5.949,84.924
2020-01-07 15:00:00,6.965,82.426
2020-01-07 16:00:00,5.745,87.184
2020-01-07 17:00:00,4.48,92.675
2020-01-07 18:00:00,3.932,94.86
2020-01-07 19:00:00,3.775,96.093
2020-01-07 20:00:00,3.089,97.531
2020-01-07 21:00:00,2.664,98.879
2020-01-07 22:00:00,2.396,99.328
2020-01-07 23:00:00,2.155,100
