"date","Temp","Hum"
2020-01-01 00:00:00,1.913,90.037
2020-01-01 01:00:00,1.643,91.025
2020-01-01 02:00:00,1.262,91.906
2020-01-01 03:00:00,1.099,92.488
2020-01-01 04:00:00,1.044,92.674
2020-01-01 05:00:00,0.88,93.089
2020-01-01 06:00:00,0.77,93.179
2020-01-01 07:00:00,0.77,93.318
2020-01-01 08:00:00,0.88,93.606
2020-01-01 09:00:00,1.071,93.342
2020-01-01 10:00:00,1.153,93.324
2020-01-01 11:00:00,1.235,92.827
2020-01-01 12:00:00,1.507,92.862
2020-01-01 13:00:00,1.859,91.33
2020-01-01 14:00:00,2.236,89.975
2020-01-01 15:00:00,2.236,88.79
2020-01-01 16:00:00,2.128,89.272
2020-01-01 17:00:00,1.859,90.085
2020-01-01 18:00:00,1.588,90.845
2020-01-01 19:00:00,1.398,91.616
2020-01-01 20:00:00,1.425,91.583
2020-01-01 21:00:00,1.48,91.761
2020-01-01 22:00:00,1.453,91.385
2020-01-01 23:00:00,1.398,91.78
2020-01-02 00:00:00,1.289,91.73
2020-01-02 01:00:00,0.907,92.737
2020-01-02 02:00:00,0.77,93.298
2020-01-02 03:00:00,0.522,93.506
2020-01-02 04:00:00,0.495,93.538
2020-01-02 05:00:00,0.356,93.933
2020-01-02 06:00:00,0.218,93.894
2020-01-02 07:00:00,-0.004,93.949
2020-01-02 08:00:00,0.079,94.168
2020-01-02 09:00:00,0.218,94.09
2020-01-02 10:00:00,0.412,93.673
2020-01-02 11:00:00,0.522,93.625
2020-01-02 12:00:00,0.605,93.648
2020-01-02 13:00:00,0.797,93.385
2020-01-02 14:00:00,1.153,92.503
2020-01-02 15:00:00,1.317,91.02
2020-01-02 16:00:00,1.344,91.13
2020-01-02 17:00:00,1.289,91.566
2020-01-02 18:00:00,1.235,91.286
2020-01-02 19:00:00,1.289,90.786
2020-01-02 20:00:00,1.153,91.059
2020-01-02 21:00:00,1.071,90.913
2020-01-02 22:00:00,1.208,90.785
2020-01-02 23:00:00,1.153,90.398
2020-01-03 00:00:00,0.989,91.035
2020-01-03 01:00:00,0.907,92.295
2020-01-03 02:00:00,0.88,92.247
2020-01-03 03:00:00,0.77,92.217
2020-01-03 04:00:00,0.852,92.118
2020-01-03 05:00:00,0.825,92.272
2020-01-03 06:00:00,0.55,93.038
2020-01-03 07:00:00,0.273,92.563
2020-01-03 08:00:00,0.107,93.035
2020-01-03 09:00:00,0.19,91.938
2020-01-03 10:00:00,0.715,91.023
2020-01-03 11:00:00,1.507,89.616
2020-01-03 12:00:00,2.343,88.988
2020-01-03 13:00:00,3.195,87.439
2020-01-03 14:00:00,4.766,83.935
2020-01-03 15:00:00,5.719,82.118
2020-01-03 16:00:00,5.488,83.115
2020-01-03 17:00:00,4.869,84.735
2020-01-03 18:00:00,4.037,86.817
2020-01-03 19:00:00,3.512,88.625
2020-01-03 20:00:00,2.209,90.428
2020-01-03 21:00:00,2.182,92.724
2020-01-03 22:00:00,1.18,91.025
2020-01-03 23:00:00,0.825,93.034
2020-01-04 00:00:00,0.715,92.724
2020-01-04 01:00:00,-0.004,92.885
2020-01-04 02:00:00,-0.116,93.604
2020-01-04 03:00:00,-0.116,93.29
2020-01-04 04:00:00,-1.185,94.199
2020-01-04 05:00:00,-1.356,94.459
2020-01-04 06:00:00,-1.584,94.585
2020-01-04 07:00:00,-1.785,94.642
2020-01-04 08:00:00,-1.785,94.661
2020-01-04 09:00:00,-1.128,95.059
2020-01-04 10:00:00,-0.088,95.395
2020-01-04 11:00:00,1.697,95.791
2020-01-04 12:00:00,3.985,96.134
2020-01-04 13:00:00,12.147,95.699
2020-01-04 14:00:00,14.026,64.36
2020-01-04 15:00:00,13.882,60.635
2020-01-04 16:00:00,12.461,66.109
2020-01-04 17:00:00,10.247,73.859
2020-01-04 18:00:00,9.114,77.469
2020-01-04 19:00:00,7.87,80.874
2020-01-04 20:00:00,7.116,83.099
2020-01-04 21:00:00,6.306,84.532
2020-01-04 22:00:00,5.796,86.563
2020-01-04 23:00:00,5.179,88.072
2020-01-05 00:00:00,4.818,88.395
2020-01-05 01:00:00,4.792,87.908
2020-01-05 02:00:00,4.558,88.351
2020-01-05 03:00:00,4.272,88.539
2020-01-05 04:00:00,4.246,87.111
2020-01-05 05:00:00,3.88,87.306
2020-01-05 06:00:00,3.67,86.416
2020-01-05 07:00:00,3.564,85.634
2020-01-05 08:00:00,0.825,91.012
2020-01-05 09:00:00,2.744,84.987
2020-01-05 10:00:00,3.142,88.595
2020-01-05 11:00:00,5.796,82.089
2020-01-05 12:00:00,8.444,74.497
2020-01-05 13:00:00,11.224,61.499
2020-01-05 14:00:00,12.34,55.119
