"date","Temp","Hum"
2020-01-01 00:00:00,1.099,91.413
2020-01-01 01:00:00,0.66,92.268
2020-01-01 02:00:00,0.439,93.047
2020-01-01 03:00:00,0.356,93.638
2020-01-01 04:00:00,0.246,94.098
2020-01-01 05:00:00,0.079,94.363
2020-01-01 06:00:00,-0.171,94.408
2020-01-01 07:00:00,-0.199,94.594
2020-01-01 08:00:00,-0.311,94.659
2020-01-01 09:00:00,-0.255,94.694
2020-01-01 10:00:00,-0.339,94.632
2020-01-01 11:00:00,0.135,94.689
2020-01-01 12:00:00,0.522,93.724
2020-01-01 13:00:00,0.715,93.143
2020-01-01 14:00:00,0.797,93.146
2020-01-01 15:00:00,1.153,93.245
2020-01-01 16:00:00,0.989,93
2020-01-01 17:00:00,0.88,93.149
2020-01-01 18:00:00,0.66,93.782
2020-01-01 19:00:00,0.605,94.277
2020-01-01 20:00:00,0.467,94.433
2020-01-01 21:00:00,0.412,94.437
2020-01-01 22:00:00,0.356,94.383
2020-01-01 23:00:00,0.246,94.41
2020-01-02 00:00:00,0.163,94.347
2020-01-02 01:00:00,-0.143,94.416
2020-01-02 02:00:00,-0.395,94.423
2020-01-02 03:00:00,-0.535,94.267
2020-01-02 04:00:00,-0.591,94.038
2020-01-02 05:00:00,-0.817,94.226
2020-01-02 06:00:00,-0.817,94.496
2020-01-02 07:00:00,-0.958,94.418
2020-01-02 08:00:00,-1.071,94.501
2020-01-02 09:00:00,-0.958,94.533
2020-01-02 10:00:00,-0.648,94.718
2020-01-02 11:00:00,-0.62,94.494
2020-01-02 12:00:00,0.051,93.749
2020-01-02 13:00:00,0.246,93.627
2020-01-02 14:00:00,0.273,94.047
2020-01-02 15:00:00,0.412,94.125
2020-01-02 16:00:00,0.273,93.91
2020-01-02 17:00:00,0.079,93.875
2020-01-02 18:00:00,0.135,93.851
2020-01-02 19:00:00,0.273,93.831
2020-01-02 20:00:00,0.273,93.674
2020-01-02 21:00:00,0.051,93.415
2020-01-02 22:00:00,0.107,92.757
2020-01-02 23:00:00,0.107,92.697
2020-01-03 00:00:00,-0.116,92.874
2020-01-03 01:00:00,-0.311,93.393
2020-01-03 02:00:00,-0.339,93.894
2020-01-03 03:00:00,-0.032,94.059
2020-01-03 04:00:00,0.024,94.25
2020-01-03 05:00:00,-0.116,94.385
2020-01-03 06:00:00,-0.591,94.251
2020-01-03 07:00:00,-0.479,94.438
2020-01-03 08:00:00,-0.76,94.319
2020-01-03 09:00:00,-0.479,94.36
2020-01-03 10:00:00,0.163,92.971
2020-01-03 11:00:00,1.507,92.297
2020-01-03 12:00:00,3.827,84.801
2020-01-03 13:00:00,3.88,83.861
2020-01-03 14:00:00,4.506,83.759
2020-01-03 15:00:00,5.411,82.655
2020-01-03 16:00:00,5.872,84.084
2020-01-03 17:00:00,7.569,80.759
2020-01-03 18:00:00,8.394,80.534
2020-01-03 19:00:00,8.817,80.337
2020-01-03 20:00:00,8.593,81.95
2020-01-03 21:00:00,8.17,84.141
2020-01-03 22:00:00,8.369,83.533
2020-01-03 23:00:00,8.27,84.072
2020-01-04 00:00:00,8.245,83.832
2020-01-04 01:00:00,7.619,83.965
2020-01-04 02:00:00,6.102,84.483
2020-01-04 03:00:00,3.459,91.198
2020-01-04 04:00:00,3.617,91.553
2020-01-04 05:00:00,5.437,91.006
2020-01-04 06:00:00,5.898,86.723
2020-01-04 07:00:00,6.484,82.177
2020-01-04 08:00:00,4.402,86.108
2020-01-04 09:00:00,5.745,87.242
2020-01-04 10:00:00,9.188,79.245
2020-01-04 11:00:00,11.102,74.213
2020-01-04 12:00:00,12.074,69.794
2020-01-04 13:00:00,12.775,67.577
2020-01-04 14:00:00,12.92,66.246
2020-01-04 15:00:00,12.654,65.92
2020-01-04 16:00:00,11.589,67.992
2020-01-04 17:00:00,9.903,71.62
2020-01-04 18:00:00,8.965,74.681
2020-01-04 19:00:00,8.469,76.781
2020-01-04 20:00:00,7.77,77.654
2020-01-04 21:00:00,7.619,78.386
2020-01-04 22:00:00,7.469,78.403
2020-01-04 23:00:00,7.318,78.345
2020-01-05 00:00:00,6.636,79.319
2020-01-05 01:00:00,6.509,80.592
2020-01-05 02:00:00,6.281,79.579
2020-01-05 03:00:00,6.051,79.189
2020-01-05 04:00:00,5.975,80.088
2020-01-05 05:00:00,5.745,78.613
2020-01-05 06:00:00,3.88,82.76
2020-01-05 07:00:00,3.248,83.185
2020-01-05 08:00:00,1.724,86.873
2020-01-05 09:00:00,4.246,82.104
2020-01-05 10:00:00,6.458,76.828
2020-01-05 11:00:00,8.469,70.154
2020-01-05 12:00:00,10.418,62.191
2020-01-05 13:00:00,11.88,53.822
2020-01-05 14:00:00,11.856,53.456
2020-01-05 15:00:00,12.147,52.315
2020-01-05 16:00:00,11.662,55.884
2020-01-05 17:00:00,8.693,65.056
2020-01-05 18:00:00,4.947,75.912
2020-01-05 19:00:00,3.036,80.281
2020-01-05 20:00:00,1.534,86.062
2020-01-05 21:00:00,1.805,89.505
2020-01-05 22:00:00,1.913,93.714
2020-01-05 23:00:00,2.021,94.181
2020-01-06 00:00:00,2.101,94.461
2020-01-06 01:00:00,1.778,94.626
2020-01-06 02:00:00,1.778,94.764
2020-01-06 03:00:00,2.46475764727984,94.367
2020-01-06 04:00:00,2.48617851814786,94.701
2020-01-06 05:00:00,0.715,94.892
2020-01-06 06:00:00,1.6941348345923,94.766
2020-01-06 07:00:00,0.301,94.968
2020-01-06 08:00:00,1.8749821457617,95.007
2020-01-06 09:00:00,0.55,95.078
2020-01-06 10:00:00,1.044,95.218
2020-01-06 11:00:00,1.588,95.296
2020-01-06 12:00:00,1.643,95.311
2020-01-06 13:00:00,1.697,95.365
2020-01-06 14:00:00,2.262,95.448
2020-01-06 15:00:00,2.664,95.445
2020-01-06 16:00:00,2.637,95.163
2020-01-06 17:00:00,1.967,94.778
2020-01-06 18:00:00,1.643,94.96
2020-01-06 19:00:00,1.751,95.069
2020-01-06 20:00:00,2.37880307536632,94.791
2020-01-06 21:00:00,0.962,94.865
2020-01-06 22:00:00,0.715,95.009
2020-01-06 23:00:00,1.153,94.822
2020-01-07 00:00:00,1.58689891241989,94.425
2020-01-07 01:00:00,1.58668647078376,94.692
2020-01-07 02:00:00,1.46138210395325,94.906
2020-01-07 03:00:00,1.23666993908619,94.767
2020-01-07 04:00:00,-0.873,95.017
2020-01-07 05:00:00,-1.128,94.944
2020-01-07 06:00:00,-1.356,94.917
2020-01-07 07:00:00,-0.958,95.069
2020-01-07 08:00:00,0.732306711803956,94.273
2020-01-07 09:00:00,0.781619921574466,94.757
2020-01-07 10:00:00,-0.451,95.253
2020-01-07 11:00:00,0.384,95.454
