"date","Temp","Hum"
2020-01-01 00:00:00,1.46,92.74
2020-01-01 01:00:00,1.24,93.48
2020-01-01 02:00:00,0.94,94.53
2020-01-01 03:00:00,0.64,95.61
2020-01-01 04:00:00,0.51,95.96
2020-01-01 05:00:00,0.13,96.23
2020-01-01 06:00:00,0.08,96.66
2020-01-01 07:00:00,0.08,96.98
2020-01-01 08:00:00,0.08,97.38
2020-01-01 09:00:00,0.08,97.38
2020-01-01 10:00:00,0.21,97.41
2020-01-01 11:00:00,0.34,97.43
2020-01-01 12:00:00,0.68,97.17
2020-01-01 13:00:00,0.94,95.75
2020-01-01 14:00:00,1.16,94.64
2020-01-01 15:00:00,1.33,94.24
2020-01-01 16:00:00,1.46,93.5
2020-01-01 17:00:00,1.33,94.21
2020-01-01 18:00:00,1.07,94.94
2020-01-01 19:00:00,0.86,95.67
2020-01-01 20:00:00,0.9,96.07
2020-01-01 21:00:00,1.03,96.1
2020-01-01 22:00:00,0.98,95.69
2020-01-01 23:00:00,0.94,95.69
2020-01-02 00:00:00,0.81,95.64
2020-01-02 01:00:00,0.56,95.96
2020-01-02 02:00:00,0.3,96.28
2020-01-02 03:00:00,0.08,96.66
2020-01-02 04:00:00,-0.17,96.58
2020-01-02 05:00:00,-0.34,96.93
2020-01-02 06:00:00,-0.39,96.9
2020-01-02 07:00:00,-0.43,97.22
2020-01-02 08:00:00,-0.64,97.22
2020-01-02 09:00:00,-0.56,97.19
2020-01-02 10:00:00,-0.13,97.35
2020-01-02 11:00:00,-0.39,97.25
2020-01-02 12:00:00,-0.04,97.38
2020-01-02 13:00:00,0.21,97.06
2020-01-02 14:00:00,0.38,97.06
2020-01-02 15:00:00,0.6,97.14
2020-01-02 16:00:00,0.51,96.71
2020-01-02 17:00:00,0.3,96.66
2020-01-02 18:00:00,0.3,96.34
2020-01-02 19:00:00,0.3,95.91
2020-01-02 20:00:00,0.3,95.93
2020-01-02 21:00:00,0.56,96.01
2020-01-02 22:00:00,0.43,95.56
2020-01-02 23:00:00,0.3,95.5
2020-01-03 00:00:00,0.26,95.88
2020-01-03 01:00:00,0.13,95.85
2020-01-03 02:00:00,-0.04,96.58
2020-01-03 03:00:00,0.04,96.6
2020-01-03 04:00:00,0.47,97.09
2020-01-03 05:00:00,0.43,96.71
2020-01-03 06:00:00,0.04,96.26
2020-01-03 07:00:00,0.04,96.98
2020-01-03 08:00:00,-0.69,96.82
2020-01-03 09:00:00,-0.34,96.87
2020-01-03 10:00:00,0.08,95.88
2020-01-03 11:00:00,0.73,94.07
2020-01-03 12:00:00,2.31,91.35
2020-01-03 13:00:00,2.74,89.81
2020-01-03 14:00:00,3.43,88.87
2020-01-03 15:00:00,5.06,84.65
2020-01-03 16:00:00,5.19,86.34
2020-01-03 17:00:00,4.33,89.51
2020-01-03 18:00:00,3.99,92.22
2020-01-03 19:00:00,7.63,87.34
2020-01-03 20:00:00,7.55,87.31
2020-01-03 21:00:00,7.51,87.84
2020-01-03 22:00:00,7.63,88.29
2020-01-03 23:00:00,7.03,90.2
2020-01-04 00:00:00,6.94,90.47
2020-01-04 01:00:00,6.56,89.97
2020-01-04 02:00:00,5.23,92.91
2020-01-04 03:00:00,4.59,93.99
2020-01-04 04:00:00,5.87,92.69
2020-01-04 05:00:00,5.57,92.61
2020-01-04 06:00:00,6.01,91.9
2020-01-04 07:00:00,5.57,92.22
2020-01-04 08:00:00,5.83,91.1
2020-01-04 09:00:00,6.94,87.7
2020-01-04 10:00:00,7.89,86.17
2020-01-04 11:00:00,9.91,82.79
2020-01-04 12:00:00,11.02,78.84
2020-01-04 13:00:00,11.92,75.94
2020-01-04 14:00:00,12.48,72.36
2020-01-04 15:00:00,12.44,69.21
2020-01-04 16:00:00,11.88,70.56
2020-01-04 17:00:00,10.51,74.3
2020-01-04 18:00:00,9.39,76.29
2020-01-04 19:00:00,8.83,78.81
2020-01-04 20:00:00,8.23,79.44
2020-01-04 21:00:00,7.59,81.45
2020-01-04 22:00:00,7.63,81.13
2020-01-04 23:00:00,7.42,81.39
2020-01-05 00:00:00,7.03,81.82
2020-01-05 01:00:00,6.73,82.5
2020-01-05 02:00:00,6.39,82.96
2020-01-05 03:00:00,6.09,83.21
2020-01-05 04:00:00,6.13,82.79
2020-01-05 05:00:00,5.83,82.84
2020-01-05 06:00:00,6.22,80.36
2020-01-05 07:00:00,4.03,85.24
2020-01-05 08:00:00,3.34,86.31
2020-01-05 09:00:00,2.96,87.54
2020-01-05 10:00:00,4.89,84.6
2020-01-05 11:00:00,5.87,83.16
2020-01-05 12:00:00,8.62,72.42
2020-01-05 13:00:00,11.07,60.45
2020-01-05 14:00:00,11.45,59.34
2020-01-05 15:00:00,11.54,61.22
2020-01-05 16:00:00,11.02,62.32
2020-01-05 17:00:00,8.75,69.42
2020-01-05 18:00:00,6.86,74.39
2020-01-05 19:00:00,6.56,82.16
2020-01-05 20:00:00,4.2,87.34
2020-01-05 21:00:00,2.78,91.46
2020-01-05 22:00:00,2.92,94.29
2020-01-05 23:00:00,2.83,95.02
2020-01-06 00:00:00,2.36,94.97
2020-01-06 01:00:00,2.23,95.67
2020-01-06 02:00:00,2.1,95.61
2020-01-06 03:00:00,2.01,95.99
2020-01-06 04:00:00,2.14,96.01
2020-01-06 05:00:00,2.1,96.39
2020-01-06 06:00:00,1.8,96.31
2020-01-06 07:00:00,1.46,96.26
2020-01-06 08:00:00,1.33,96.58
2020-01-06 09:00:00,1.24,96.58
2020-01-06 10:00:00,1.24,96.93
2020-01-06 11:00:00,1.84,96.77
2020-01-06 12:00:00,1.8,96.74
2020-01-06 13:00:00,1.88,96.77
2020-01-06 14:00:00,2.14,96.44
2020-01-06 15:00:00,2.57,95.34
2020-01-06 16:00:00,2.7,93.45
2020-01-06 17:00:00,2.31,94.15
2020-01-06 18:00:00,2.14,94.91
2020-01-06 19:00:00,2.14,95.67
2020-01-06 20:00:00,2.27,96.44
2020-01-06 21:00:00,1.84,95.58
2020-01-06 22:00:00,1.5,95.88
2020-01-06 23:00:00,1.63,96.26
2020-01-07 00:00:00,1.41,96.26
2020-01-07 01:00:00,1.2,96.58
2020-01-07 02:00:00,1.16,96.52
2020-01-07 03:00:00,0.86,96.82
2020-01-07 04:00:00,0.38,96.74
2020-01-07 05:00:00,0.08,97.41
2020-01-07 06:00:00,0.08,97.38
2020-01-07 07:00:00,0.04,97.41
2020-01-07 08:00:00,0.17,97.38
2020-01-07 09:00:00,0.08,97.81
2020-01-07 10:00:00,0.51,97.86
2020-01-07 11:00:00,1.03,98.02
2020-01-07 12:00:00,1.97,97.57
2020-01-07 13:00:00,2.4,97.65
2020-01-07 14:00:00,4.37,88.59
2020-01-07 15:00:00,5.44,85.97
2020-01-07 16:00:00,5.53,84.34
2020-01-07 17:00:00,4.33,88.18
2020-01-07 18:00:00,3.08,92.36
2020-01-07 19:00:00,2.87,94.7
2020-01-07 20:00:00,2.7,95.83
2020-01-07 21:00:00,2.14,96.42
2020-01-07 22:00:00,1.8,96.74
2020-01-07 23:00:00,1.58,97.03
2020-01-08 00:00:00,1.46,97.43
2020-01-08 01:00:00,1.54,97.43
2020-01-08 02:00:00,1.58,97.83
2020-01-08 03:00:00,1.37,97.73
2020-01-08 04:00:00,1.24,98.07
2020-01-08 05:00:00,1.2,98.13
2020-01-08 06:00:00,0.9,98.02
2020-01-08 07:00:00,0.34,98.21
2020-01-08 08:00:00,0.73,98.37
2020-01-08 09:00:00,0.98,98.39
2020-01-08 10:00:00,1.63,98.6
2020-01-08 11:00:00,2.23,98.42
2020-01-08 12:00:00,2.62,98.52
2020-01-08 13:00:00,2.62,98.52
2020-01-08 14:00:00,2.83,98.15
2020-01-08 15:00:00,3,98.23
2020-01-08 16:00:00,3,98.23
2020-01-08 17:00:00,2.83,98.15
2020-01-08 18:00:00,2.44,98.07
2020-01-08 19:00:00,2.27,98.05
2020-01-08 20:00:00,2.27,97.99
2020-01-08 21:00:00,2.23,98.37
2020-01-08 22:00:00,2.06,98.37
2020-01-08 23:00:00,1.8,98.23
2020-01-09 00:00:00,1.71,98.63
2020-01-09 01:00:00,1.63,98.58
2020-01-09 02:00:00,1.63,98.58
2020-01-09 03:00:00,1.58,98.55
2020-01-09 04:00:00,1.54,98.6
2020-01-09 05:00:00,1.33,98.87
2020-01-09 06:00:00,1.07,98.84
2020-01-09 07:00:00,0.64,98.66
2020-01-09 08:00:00,0.56,98.68
2020-01-09 09:00:00,0.81,98.71
2020-01-09 10:00:00,1.33,98.87
2020-01-09 11:00:00,1.54,98.92
2020-01-09 12:00:00,1.8,99
2020-01-09 13:00:00,1.97,98.71
2020-01-09 14:00:00,2.1,99.13
2020-01-09 15:00:00,2.31,98.82
2020-01-09 16:00:00,2.18,98.74
2020-01-09 17:00:00,2.06,99.08
