"date","Temp","Hum"
2020-01-01 00:00:00,2.27,90.2
2020-01-01 01:00:00,1.88,91.21
2020-01-01 02:00:00,1.58,92.36
2020-01-01 03:00:00,1.41,92.36
2020-01-01 04:00:00,1.24,93.42
2020-01-01 05:00:00,1.24,93.83
2020-01-01 06:00:00,1.24,94.21
2020-01-01 07:00:00,1.28,94.21
2020-01-01 08:00:00,1.41,93.91
2020-01-01 09:00:00,1.54,93.18
2020-01-01 10:00:00,1.76,92.39
2020-01-01 11:00:00,2.18,90.5
2020-01-01 12:00:00,2.31,90.53
2020-01-01 13:00:00,2.78,90.33
2020-01-01 14:00:00,3,89.17
2020-01-01 15:00:00,2.92,89.45
2020-01-01 16:00:00,2.7,89.09
2020-01-01 17:00:00,2.48,90.64
2020-01-01 18:00:00,2.1,91.35
2020-01-01 19:00:00,2.06,91.27
2020-01-01 20:00:00,2.14,92.06
2020-01-01 21:00:00,2.06,92.47
2020-01-01 22:00:00,1.97,92.88
2020-01-01 23:00:00,2.01,92.5
2020-01-02 00:00:00,1.88,92.47
2020-01-02 01:00:00,1.46,93.1
2020-01-02 02:00:00,1.28,93.88
2020-01-02 03:00:00,1.16,93.8
2020-01-02 04:00:00,0.94,93.8
2020-01-02 05:00:00,0.73,93.69
2020-01-02 06:00:00,0.64,94.1
2020-01-02 07:00:00,0.6,94.1
2020-01-02 08:00:00,0.77,93.69
2020-01-02 09:00:00,0.94,93.4
2020-01-02 10:00:00,1.03,93.01
2020-01-02 11:00:00,1.28,93.04
2020-01-02 12:00:00,1.41,93.53
2020-01-02 13:00:00,1.84,93.59
2020-01-02 14:00:00,1.8,93.18
2020-01-02 15:00:00,1.8,92.01
2020-01-02 16:00:00,1.67,91.62
2020-01-02 17:00:00,1.63,91.6
2020-01-02 18:00:00,1.54,91.18
2020-01-02 19:00:00,1.46,91.18
2020-01-02 20:00:00,1.58,91.6
2020-01-02 21:00:00,1.63,91.62
2020-01-02 22:00:00,1.5,92.33
2020-01-02 23:00:00,1.24,92.66
2020-01-03 00:00:00,1.07,93.4
2020-01-03 01:00:00,1.11,93.4
2020-01-03 02:00:00,1.07,93.4
2020-01-03 03:00:00,1.54,92.77
2020-01-03 04:00:00,1.5,92.72
2020-01-03 05:00:00,0.98,93.01
2020-01-03 06:00:00,0.98,92.96
2020-01-03 07:00:00,0.43,92.47
2020-01-03 08:00:00,0.9,92.14
2020-01-03 09:00:00,1.24,90.64
2020-01-03 10:00:00,2.44,87.7
2020-01-03 11:00:00,2.4086092374495,83.55
2020-01-03 12:00:00,4.2,84.54
2020-01-03 13:00:00,5.27,81.76
2020-01-03 14:00:00,6.69,77.31
2020-01-03 15:00:00,6.94,77.86
2020-01-03 16:00:00,4.59,85.47
2020-01-03 17:00:00,3.47,90.5
2020-01-03 18:00:00,1.76,90.44
2020-01-03 19:00:00,1.37,93.91
2020-01-03 20:00:00,0.81,94.94
2020-01-03 21:00:00,0.17,95.48
2020-01-03 22:00:00,0.04,95.05
2020-01-03 23:00:00,-0.47,96.12
2020-01-04 00:00:00,-0.94,95.21
2020-01-04 01:00:00,-1.08,96.34
2020-01-04 02:00:00,-1.76,96.47
2020-01-04 03:00:00,-1.59,96.52
2020-01-04 04:00:00,-1.46,96.93
2020-01-04 05:00:00,-1.72,97.62
2020-01-04 06:00:00,-1.59,98.02
2020-01-04 07:00:00,-1.51,98.1
2020-01-04 08:00:00,-0.64,98.31
2020-01-04 09:00:00,0.73,98.74
2020-01-04 10:00:00,2.23,98.79
2020-01-04 11:00:00,4.5,99.06
2020-01-04 12:00:00,9.48,98.9
2020-01-04 13:00:00,13.73,69.99
2020-01-04 14:00:00,14.03,65.76
2020-01-04 15:00:00,12.99,66.91
2020-01-04 16:00:00,11.49,71.83
2020-01-04 17:00:00,10.55,73.78
2020-01-04 18:00:00,9.69,76.64
2020-01-04 19:00:00,9.01,76.93
2020-01-04 20:00:00,8.49,78.61
2020-01-04 21:00:00,8.28,79.44
2020-01-04 22:00:00,7.81,81.05
2020-01-04 23:00:00,7.59,80.59
2020-01-05 00:00:00,7.55,80.25
2020-01-05 01:00:00,7.21,81.02
2020-01-05 02:00:00,6.91,80.85
2020-01-05 03:00:00,6.64,80.79
2020-01-05 04:00:00,6.56,80.85
2020-01-05 05:00:00,6.13,79.9
2020-01-05 06:00:00,2.36,89.31
2020-01-05 07:00:00,0.21,91.62
2020-01-05 08:00:00,1.24,94.21
2020-01-05 09:00:00,4.89,87.9
2020-01-05 10:00:00,6.09,82.05
2020-01-05 11:00:00,8.75,76.61
2020-01-05 12:00:00,11.41,63.09
2020-01-05 13:00:00,12.66,56.89
2020-01-05 14:00:00,12.99,54.29
2020-01-05 15:00:00,12.05,63.42
2020-01-05 16:00:00,9.18,69.57
2020-01-05 17:00:00,7.16,76.7
2020-01-05 18:00:00,5.4,84.43
2020-01-05 19:00:00,2.44,91.02
2020-01-05 20:00:00,3,94.32
2020-01-05 21:00:00,3.13,93.99
2020-01-05 22:00:00,3.47,94.86
2020-01-05 23:00:00,3.39,94.86
2020-01-06 00:00:00,3.13,95.96
2020-01-06 01:00:00,3.3,95.56
2020-01-06 02:00:00,3.26,95.56
2020-01-06 03:00:00,3.34,95.56
2020-01-06 04:00:00,3,95.91
2020-01-06 05:00:00,2.14,96.07
2020-01-06 06:00:00,2.01,96.36
2020-01-06 07:00:00,2.18,96.47
2020-01-06 08:00:00,2.44,96.55
2020-01-06 09:00:00,2.66,96.6
2020-01-06 10:00:00,3.04,95.88
2020-01-06 11:00:00,2.92,94.67
2020-01-06 12:00:00,3.13,93.94
2020-01-06 13:00:00,3.34,92.42
2020-01-06 14:00:00,3.77,90.06
2020-01-06 15:00:00,3.69,90.5
2020-01-06 16:00:00,3.26,91.62
2020-01-06 17:00:00,3.04,93.18
2020-01-06 18:00:00,3.04,93.96
2020-01-06 19:00:00,2.96,94.34
2020-01-06 20:00:00,3,93.5
2020-01-06 21:00:00,2.83,93.12
2020-01-06 22:00:00,2.62,93.45
2020-01-06 23:00:00,2.48,93.42
2020-01-07 00:00:00,2.48,93.42
2020-01-07 01:00:00,2.31,94.15
2020-01-07 02:00:00,2.1,94.48
2020-01-07 03:00:00,1.84,95.21
2020-01-07 04:00:00,1.88,95.96
2020-01-07 05:00:00,1.93,96.39
2020-01-07 06:00:00,1.88,95.93
2020-01-07 07:00:00,1.88,95.99
2020-01-07 08:00:00,2.18,95.64
2020-01-07 09:00:00,2.4,93.37
2020-01-07 10:00:00,3.43,90.8
2020-01-07 11:00:00,3.82,89.37
2020-01-07 12:00:00,5.32,84.71
2020-01-07 13:00:00,6.94,81.28
2020-01-07 14:00:00,7.03,80.45
2020-01-07 15:00:00,6.56,82.56
2020-01-07 16:00:00,4.59,88.65
2020-01-07 17:00:00,2.87,90.75
2020-01-07 18:00:00,3.56,94.05
2020-01-07 19:00:00,3.39,94.45
2020-01-07 20:00:00,2.92,94.72
2020-01-07 21:00:00,2.74,95.02
2020-01-07 22:00:00,2.62,95.42
2020-01-07 23:00:00,2.44,96.07
2020-01-08 00:00:00,2.57,96.58
2020-01-08 01:00:00,2.48,96.55
2020-01-08 02:00:00,2.36,96.85
2020-01-08 03:00:00,2.36,96.9
2020-01-08 04:00:00,2.27,97.27
2020-01-08 05:00:00,1.88,97.11
2020-01-08 06:00:00,1.37,97.78
2020-01-08 07:00:00,1.76,98.23
2020-01-08 08:00:00,2.23,97.97
2020-01-08 09:00:00,2.74,97.78
2020-01-08 10:00:00,3.64,97.27
2020-01-08 11:00:00,4.07,95.37
2020-01-08 12:00:00,4.42,92.74
2020-01-08 13:00:00,4.59,91.98
2020-01-08 14:00:00,4.46,92.69
2020-01-08 15:00:00,4.24,92.63
2020-01-08 16:00:00,3.94,93.78
2020-01-08 17:00:00,3.64,93.72
2020-01-08 18:00:00,3.3,94.78
2020-01-08 19:00:00,2.92,95.83
2020-01-08 20:00:00,2.96,96.26
2020-01-08 21:00:00,2.83,96.98
2020-01-08 22:00:00,2.74,97.41
2020-01-08 23:00:00,2.44,97.27
2020-01-09 00:00:00,2.4,97.65
2020-01-09 01:00:00,2.4,97.67
2020-01-09 02:00:00,2.31,97.62
2020-01-09 03:00:00,2.31,97.67
2020-01-09 04:00:00,2.23,97.59
2020-01-09 05:00:00,2.14,97.94
2020-01-09 06:00:00,1.76,97.83
2020-01-09 07:00:00,1.76,97.89
2020-01-09 08:00:00,2.01,97.91
2020-01-09 09:00:00,2.53,97.67
2020-01-09 10:00:00,2.53,97.33
2020-01-09 11:00:00,3.08,97.89
2020-01-09 12:00:00,3.3,96.74
2020-01-09 13:00:00,3.52,95.67
2020-01-09 14:00:00,3.56,95.61
2020-01-09 15:00:00,3.3,95.56
2020-01-09 16:00:00,3.04,96.66
2020-01-09 17:00:00,3.3,96.77
2020-01-09 18:00:00,3.13,97.46
2020-01-09 19:00:00,3.52,97.57
2020-01-09 20:00:00,3.64,97.22
2020-01-09 21:00:00,3.9,95.72
2020-01-09 22:00:00,3.94,95.34
2020-01-09 23:00:00,4.33,95.5
2020-01-10 00:00:00,4.67,93.99
2020-01-10 01:00:00,5.19,93.69
2020-01-10 02:00:00,6.17,91.95
2020-01-10 03:00:00,6.43,91.62
2020-01-10 04:00:00,6.52,90.47
2020-01-10 05:00:00,6.48,88.32
2020-01-10 06:00:00,6.56,86.37
2020-01-10 07:00:00,6.73,84.74
2020-01-10 08:00:00,7.59,81.96
2020-01-10 09:00:00,8.96,78.38
2020-01-10 10:00:00,10.29,74.6
2020-01-10 11:00:00,11.84,69.09
2020-01-10 12:00:00,12.48,66.06
2020-01-10 13:00:00,12.61,64.21
2020-01-10 14:00:00,12.82,64.27
2020-01-10 15:00:00,11.67,68.95
2020-01-10 16:00:00,10.68,71.21
2020-01-10 17:00:00,9.57,75.74
2020-01-10 18:00:00,8.88,76.2
2020-01-10 19:00:00,8.41,76.96
2020-01-10 20:00:00,8.02,78.09
2020-01-10 21:00:00,7.72,78.12
2020-01-10 22:00:00,7.59,78.41
2020-01-10 23:00:00,7.46,78.49
2020-01-11 00:00:00,7.25,77.6
2020-01-11 01:00:00,6.73,78.67
2020-01-11 02:00:00,6.39,79.44
2020-01-11 03:00:00,6.26,79.93
