Codigo;Lat;Long;x;y
S01;41.6538;-0.876258;676837.98;4613524.38
S02;41.6496;-0.884854;676133.56;4613041.96
S03;41.6602;-0.871698;677200.12;4614245.63
S04;41.6460;-0.900291;674857.72;4612612.12
S05;41.6505;-0.904937;674458.88;4613093.96
S06;41.6608;-0.904401;674475.73;4614238.43
S07;41.6687;-0.913121;673728.27;4615102.61.
S08;41.6767;-0.889135;675703.38;4616041.59
S09;41.6410;-0.863168;677963.25;4612129.53
S10;41.6334;-0.882191;676399.53;4611248.47
S11;41.6343;-0.896020;675246.84;4611317.49
S12;41.6517;-0.927420;672583.37;4613181.39
S13;41.6392;-0.942464;671363.61;4611769.01
S14;41.6210;-0.934776;672052.32;4609765.43
S15;41.6205;-0.876889;676876.58;4609823.3
S16;41.6481;-0.821766;681391.59;4613005.84
S17;41.6768;-0.856457;678423.25;4616120.62
S18;41.6929;-0.866250;677563.94;4617882.35
S19;41.5959;-0.948614;670965.68;4606951.65
S20;41.6190;-0.899870;674963.93;4609607.19
S21;41.6350;-0.857968;678412.87;4611476.87
S22;41.7293;-0.817946;677563.94;4617882.35
S23;41.6634;-0.879445;676546.55;4614577.32
