station,svf,gli,nbai,mdt,ndti,lst,temp_diff,lat,lon
1,0.59833276,0.069574475,0.48573375,0.11847948,-0.030729989,0.37797624,1.396381013183312,41.65385782771529,-0.8762584411019845
2,0.59901714,-0.0074715964,0.17804137,0.13581157,0.090028405,0.41802913,1.3208737668065005,41.64967149518328,-0.8848547529188722
3,0.6836241,-0.014393898,0.14467698,0.0840328,0.10111001,0.2030016,1.0699000349224423,41.66026936459848,-0.8716983771368628
4,0.702197,0.021348199,0.21510442,0.17915078,0.048410766,0.380759,1.1150540204296888,41.6460832879269,-0.9002917531183346
5,0.58854866,0.048384786,0.4047287,0.17419483,0.0052472623,0.2978983,1.6332243102847612,41.65050778737983,-0.904937405190278
6,0.7075428,0.061820194,0.4543049,0.09181098,-0.030040856,0.3008527,1.2396951885042626,41.66080567333312,-0.9044011411914769
7,0.96588975,0.059368458,0.37897277,0.077165246,-0.03189554,0.34895328,0.5048289298499787,41.66874763459151,-0.9131217444768835
8,0.6962416,0.058939204,0.5113674,0.08701816,-0.04529303,0.15782733,1.0764942378209934,41.67676631433166,-0.8891352863981845
9,0.7631487,0.00080007716,0.1530934,0.08701816,0.08189218,0.2591288,1.1484866271769276,41.64105243127356,-0.8631685778273825
10,0.8006021,0.0064126067,0.09706994,0.25935572,0.0407704,0.37200692,1.0495155240528773,41.63346937025053,-0.8821917523182508
11,0.69858056,0.07434532,0.50467896,0.1983447,-0.037452396,0.43546504,0.6531637825823704,41.634344702300446,-0.8960014370988564
12,0.7090657,-0.00014250533,0.059303716,0.23841318,0.040201113,0.29814547,1.1184658742645266,41.6517029997013,-0.9274207569979358
13,0.91678184,0.012983101,-0.023366198,0.30361,-0.0033216665,0.35330525,1.0743357233282396,41.63925273463477,-0.942464593980874
14,0.9488936,0.008925526,0.27294663,0.36204788,0.05657424,0.39847976,0.793172226951428,41.62106945850834,-0.9347764600002751
15,0.9398973,0.014325132,0.2529623,0.25829563,0.058289498,0.35615078,0.782764165357225,41.620535697239,-0.8768892738929818
16,0.8460172,0.031917583,0.25593683,0.060875066,0.018714571,0.10764269,0.5234250009198131,41.64816742996207,-0.8217665832266002
17,0.9196078,0.06757249,0.4981469,0.11280784,-0.034447275,0.09333381,0.901622861009399,41.67687301712392,-0.8564575555402794
18,0.82751477,0.03551823,0.2411064,0.23368832,0.012761703,0.11748888,0.7569983139079497,41.69292221809632,-0.8662501527537109
19,0.86091983,0.07182744,0.49764273,0.53832215,-0.038780965,0.34196407,0.0,41.595974765774855,-0.9486146786341302
20,0.76268065,0.00969237,0.066230915,0.45432547,0.04612704,0.35543188,0.131435361009399,41.61901207065279,-0.8998956924931766
21,0.931684,0.07921687,0.52537715,0.05327363,-0.04763262,0.14130855,0.9619480421688194,41.6350774225189,-0.8579681689785305
